player_name,hit_direction,bb_type,bips,total_level,share,below_floor,n_la,min_la,max_la,mu_la,std_la,p5_la,p95_la,n_ev,min_ev,max_ev,mu_ev,std_ev,p5_ev,p95_ev,n_dist,min_dist,max_dist,mu_dist,std_dist,p5_dist,p95_dist
"Arraez, Luis",Oppo,fly_ball,20,49,0.408,False,20,30.0,61.0,41.7,9.592,30.95,60.05,20,72.5,92.9,85.005,5.703,75.825,91.285,20,188.0,339.0,272.45,46.286,196.55,337.1
"Arraez, Luis",Oppo,ground_ball,11,49,0.224,False,11,-30.0,9.0,-7.273,13.986,-28.0,8.5,11,51.5,100.4,80.073,16.731,54.35,97.35,11,3.0,114.0,39.273,38.097,3.5,98.5
"Arraez, Luis",Oppo,line_drive,13,49,0.265,False,13,14.0,26.0,17.308,3.838,14.0,24.2,13,68.0,94.8,86.169,7.867,72.02,93.3,13,148.0,338.0,232.385,55.042,155.2,318.8
"Arraez, Luis",Oppo,popup,5,49,0.102,False,5,64.0,79.0,70.0,7.348,64.2,78.6,5,68.8,87.8,78.56,7.596,69.88,87.06,5,48.0,170.0,122.2,53.209,55.6,169.0
"Arraez, Luis",Pull,fly_ball,13,54,0.241,False,13,0.0,52.0,34.308,12.546,17.4,51.4,13,64.0,101.2,85.815,12.014,67.48,99.28,13,47.0,385.0,275.846,90.33,147.2,379.6
"Arraez, Luis",Pull,ground_ball,25,54,0.463,False,25,-63.0,26.0,-8.24,16.981,-26.0,13.2,25,41.8,97.5,79.708,16.531,50.44,96.74,25,1.0,105.0,34.24,34.864,3.2,91.6
"Arraez, Luis",Pull,line_drive,13,54,0.241,False,13,5.0,25.0,16.615,6.035,6.2,24.4,13,69.1,101.5,88.785,9.383,72.82,100.96,13,90.0,317.0,217.769,70.459,106.8,300.2
"Arraez, Luis",Pull,popup,3,54,0.056,False,3,30.0,77.0,60.667,26.577,34.5,76.8,3,40.1,86.6,67.6,24.387,43.7,85.55,3,57.0,91.0,69.667,18.583,57.4,88.0
"Arraez, Luis",Straightaway,fly_ball,19,45,0.422,False,19,25.0,42.0,32.789,4.984,25.9,42.0,19,63.3,100.5,88.079,10.8,64.47,98.43,19,204.0,391.0,323.947,53.805,212.1,381.1
"Arraez, Luis",Straightaway,ground_ball,13,45,0.289,False,13,-66.0,7.0,-12.692,23.009,-52.8,7.0,13,32.3,97.8,82.8,18.99,50.0,96.66,13,1.0,142.0,43.0,43.139,2.2,122.8
"Arraez, Luis",Straightaway,line_drive,12,45,0.267,False,12,5.0,25.0,16.417,5.68,8.85,23.9,12,67.0,97.8,88.075,9.544,71.29,96.535,12,92.0,367.0,232.167,82.391,128.85,345.0
"Arraez, Luis",Straightaway,popup,1,45,0.022,False,1,63.0,63.0,63.0,,63.0,63.0,1,64.7,64.7,64.7,,64.7,64.7,1,121.0,121.0,121.0,,121.0,121.0
"Bohm, Alec",Oppo,fly_ball,49,156,0.314,False,49,22.0,60.0,36.265,9.78,24.0,54.2,49,62.4,102.7,89.165,8.758,72.62,99.06,49,180.0,398.0,293.857,52.328,198.2,358.2
"Bohm, Alec",Oppo,ground_ball,45,156,0.288,False,45,-64.0,15.0,-9.889,17.219,-43.2,7.6,45,47.6,107.7,85.729,16.457,54.12,106.5,45,1.0,152.0,41.489,42.085,2.0,118.0
"Bohm, Alec",Oppo,line_drive,46,156,0.295,False,46,5.0,27.0,15.891,5.587,6.25,23.0,46,64.9,106.0,91.285,9.773,75.625,104.025,46,90.0,343.0,242.457,67.579,129.0,338.75
"Bohm, Alec",Oppo,popup,16,156,0.103,False,16,34.0,80.0,65.25,11.676,46.75,78.5,16,65.1,88.7,77.506,7.492,67.2,88.025,16,21.0,221.0,126.5,57.888,38.25,197.0
"Bohm, Alec",Pull,fly_ball,22,168,0.131,False,22,22.0,55.0,33.273,8.664,23.05,45.9,22,74.3,107.0,94.214,9.62,78.815,106.96,21,223.0,411.0,338.286,50.751,250.0,408.0
"Bohm, Alec",Pull,ground_ball,120,168,0.714,False,119,-63.0,10.0,-15.79,15.228,-42.0,6.1,119,46.1,109.4,90.111,13.154,67.18,106.82,119,1.0,154.0,22.63,33.725,2.9,113.2
"Bohm, Alec",Pull,line_drive,23,168,0.137,False,23,10.0,30.0,18.565,4.698,11.1,25.0,23,76.0,108.2,97.348,9.017,81.34,107.36,23,146.0,387.0,296.739,66.085,172.1,368.9
"Bohm, Alec",Pull,popup,3,168,0.018,False,3,73.0,83.0,78.333,5.033,73.6,82.6,3,79.4,88.9,83.333,4.956,79.63,88.18,3,54.0,79.0,63.333,13.65,54.3,76.8
"Bohm, Alec",Straightaway,fly_ball,33,127,0.26,False,33,22.0,54.0,32.758,9.148,22.6,53.0,33,78.9,107.7,95.733,7.524,83.86,105.74,33,230.0,447.0,348.212,55.535,248.2,429.0
"Bohm, Alec",Straightaway,ground_ball,49,127,0.386,False,49,-43.0,13.0,-11.735,14.312,-38.8,6.6,49,61.3,108.1,90.882,13.118,67.02,106.48,49,2.0,145.0,31.306,40.29,4.0,133.0
"Bohm, Alec",Straightaway,line_drive,42,127,0.331,False,42,2.0,29.0,14.976,6.542,6.0,24.9,42,68.7,107.4,94.85,10.313,75.59,105.875,42,56.0,414.0,248.143,80.881,136.25,386.65
"Bohm, Alec",Straightaway,popup,3,127,0.024,False,3,45.0,65.0,56.0,10.149,46.3,64.3,3,52.8,81.8,71.567,16.275,55.53,81.63,3,140.0,203.0,165.333,33.262,141.3,198.0
"Crawford, Justin",Oppo,fly_ball,24,129,0.186,False,24,23.0,60.0,38.667,10.849,24.3,55.4,24,68.2,102.9,87.446,8.555,69.725,96.15,24,189.0,373.0,285.042,50.93,194.55,342.85
"Crawford, Justin",Oppo,ground_ball,67,129,0.519,False,66,-76.0,16.0,-15.485,21.686,-55.0,8.75,66,19.9,103.1,79.671,22.295,28.075,102.075,66,0.0,164.0,29.682,37.269,2.0,114.25
"Crawford, Justin",Oppo,line_drive,28,129,0.217,False,28,7.0,27.0,16.393,5.259,8.35,24.0,28,73.1,101.8,93.05,8.376,76.645,101.355,28,153.0,380.0,258.536,64.012,156.45,344.7
"Crawford, Justin",Oppo,popup,10,129,0.078,False,10,60.0,86.0,71.4,8.086,61.35,84.2,10,47.0,88.6,73.55,13.403,51.41,87.385,10,20.0,181.0,113.3,52.574,31.25,172.0
"Crawford, Justin",Pull,fly_ball,12,123,0.098,False,12,26.0,44.0,33.333,6.457,26.55,42.9,12,69.0,104.7,90.017,10.613,69.935,101.235,12,221.0,421.0,323.083,55.789,228.7,388.0
"Crawford, Justin",Pull,ground_ball,91,123,0.74,False,90,-87.0,11.0,-21.078,24.512,-69.55,6.0,90,37.5,109.2,85.176,16.198,55.08,105.91,90,0.0,127.0,27.167,36.957,1.0,108.55
"Crawford, Justin",Pull,line_drive,18,123,0.146,False,18,6.0,30.0,17.222,5.071,8.55,22.35,18,72.7,105.8,92.489,11.468,75.93,105.205,18,150.0,347.0,265.111,64.416,165.3,332.55
"Crawford, Justin",Pull,popup,2,123,0.016,False,2,47.0,86.0,66.5,27.577,48.95,84.05,2,55.6,63.0,59.3,5.233,55.97,62.63,2,8.0,159.0,83.5,106.773,15.55,151.45
