pitch_uid,game_year,game_date,plate_x,plate_z,zone,pitch_type,p_throws,type,is_bip,events,description
716572-20-6,2023,2023-09-15,-0.65,3.41,1.0,FF,L,X,True,field_out,hit_into_play
716572-20-5,2023,2023-09-15,1.04,2.95,12.0,CH,L,B,False,,ball
716572-20-4,2023,2023-09-15,-0.63,3.87,11.0,FF,L,B,False,,ball
716572-20-3,2023,2023-09-15,-0.03,3.62,11.0,FF,L,S,False,,foul
716572-20-2,2023,2023-09-15,-0.04,1.74,8.0,FC,L,S,False,,foul
716572-20-1,2023,2023-09-15,0.33,3.77,12.0,CU,L,B,False,,ball
716572-15-5,2023,2023-09-15,-0.51,3.4,1.0,CU,L,B,False,caught_stealing_2b,ball
716572-15-4,2023,2023-09-15,-0.74,1.56,7.0,CU,L,S,False,,foul
716572-15-3,2023,2023-09-15,0.26,1.76,8.0,CH,L,S,False,,called_strike
716572-15-2,2023,2023-09-15,-0.93,2.62,11.0,FF,L,S,False,,called_strike
716572-15-1,2023,2023-09-15,0.41,4.37,12.0,FF,L,B,False,,ball
716572-59-9,2023,2023-09-15,0.48,3.55,12.0,SL,L,S,False,strikeout,swinging_strike
716572-59-8,2023,2023-09-15,-0.59,2.36,4.0,CU,L,S,False,,foul
716572-59-7,2023,2023-09-15,1.43,3.93,12.0,FF,L,B,False,,ball
716572-59-6,2023,2023-09-15,-0.12,3.7,11.0,SI,L,S,False,,foul
716572-59-5,2023,2023-09-15,0.78,4.61,12.0,FF,L,B,False,,ball
716572-59-4,2023,2023-09-15,-0.3,1.54,13.0,CU,L,S,False,,foul
716572-59-3,2023,2023-09-15,-0.09,2.58,5.0,CU,L,S,False,,foul
716572-59-2,2023,2023-09-15,-0.62,3.17,1.0,SI,L,S,False,,foul
716572-59-1,2023,2023-09-15,-0.77,1.75,7.0,CU,L,S,False,,swinging_strike
716572-2-6,2023,2023-09-15,-0.13,3.71,11.0,FF,L,X,True,single,hit_into_play
716572-2-5,2023,2023-09-15,-1.02,2.46,13.0,FC,L,S,False,,foul
716572-2-4,2023,2023-09-15,-1.15,-0.44,13.0,FC,L,B,False,,ball
716572-2-3,2023,2023-09-15,-0.38,4.63,11.0,FF,L,B,False,,ball
716572-2-2,2023,2023-09-15,-0.05,3.88,11.0,FF,L,S,False,,swinging_strike
716572-2-1,2023,2023-09-15,0.17,2.5,5.0,FF,L,S,False,,foul
716603-45-2,2023,2023-09-13,0.0,2.38,5.0,FF,R,X,True,field_out,hit_into_play
716603-45-1,2023,2023-09-13,0.65,3.68,12.0,FF,R,B,False,,ball
716603-24-2,2023,2023-09-13,0.54,1.84,9.0,SL,R,X,True,field_out,hit_into_play
716603-24-1,2023,2023-09-13,0.36,0.84,14.0,SL,R,S,False,,swinging_strike
716603-7-7,2023,2023-09-13,-0.13,1.93,8.0,FF,R,X,True,field_out,hit_into_play
716603-7-6,2023,2023-09-13,0.36,1.95,9.0,SL,R,S,False,,foul
716603-62-5,2023,2023-09-13,-0.64,1.07,13.0,ST,L,S,False,strikeout,swinging_strike
716603-7-5,2023,2023-09-13,1.44,0.35,14.0,SL,R,B,False,,blocked_ball
716603-62-4,2023,2023-09-13,-1.07,1.92,13.0,ST,L,S,False,,swinging_strike
716603-7-4,2023,2023-09-13,0.07,3.85,12.0,FF,R,S,False,,foul
716603-62-3,2023,2023-09-13,-0.58,2.47,4.0,ST,L,S,False,,called_strike
716603-7-3,2023,2023-09-13,-0.27,2.7,5.0,FF,R,S,False,,foul
716603-7-2,2023,2023-09-13,0.34,2.08,9.0,FF,R,S,False,,foul_tip
