game_year,game_date,game_pk,at_bat_number,pitch_number,p_throws,stand,pitch_type,zone,hc_x,hc_y,loc_x,loc_y,type,events,bb_type,hit_direction,ooz,sort_rank
2023,2023-09-01,716765,55,3,R,R,CH,4.0,19.62,97.17,-264.0419918,252.31233810000003,X,home_run,fly_ball,Pull,False,0
2023,2023-08-30,716787,20,2,L,R,FF,3.0,144.91,63.37,48.64062778999999,336.66601790000004,X,field_out,fly_ball,Straightaway,False,1
2023,2023-08-30,716787,42,2,R,R,FF,5.0,178.05,62.37,131.34716473000003,339.16168890000006,X,double,line_drive,Oppo,False,2
2023,2023-08-30,716787,54,2,R,R,FF,1.0,70.02,40.03,-138.2601734,394.91497904000005,X,home_run,fly_ball,Pull,False,0
2023,2023-08-29,716806,24,2,L,R,CH,9.0,122.4,72.82,-7.536926419999991,313.0819269500001,X,field_out,fly_ball,Straightaway,False,1
2023,2023-08-29,716806,72,3,R,R,SL,5.0,91.63,39.62,-84.32872309000003,395.93820415000005,X,home_run,fly_ball,Pull,False,0
2023,2023-08-29,716806,56,7,R,R,SI,4.0,34.56,106.4,-226.75666706,229.27729477000003,X,triple,ground_ball,Pull,False,0
2023,2023-08-29,716806,6,5,L,R,FF,4.0,99.94,94.24,-63.589697080000015,259.62465413000007,X,field_out,fly_ball,Pull,False,0
2023,2023-08-28,716817,46,3,R,R,SL,8.0,51.98,55.49,-183.28207824,356.33190538,X,home_run,fly_ball,Pull,False,0
2023,2023-08-28,716817,9,3,R,R,CH,7.0,50.82,67.67,-186.17705660000001,325.9346326000001,X,home_run,fly_ball,Pull,False,0
2023,2023-08-28,716817,64,6,R,R,FF,12.0,214.73,117.51,222.88837701,201.55038996000002,X,field_out,fly_ball,Oppo,True,2
2023,2023-08-27,716835,37,6,L,R,ST,7.0,81.53,84.6,-109.53500019,283.6829225700001,X,sac_fly,fly_ball,Pull,False,0
2023,2023-08-27,716835,18,1,L,R,FS,8.0,128.32,179.06,7.23744589999998,47.94183991000002,X,field_out,ground_ball,Straightaway,False,1
2023,2023-08-27,716835,52,4,L,R,SI,14.0,130.57,147.62,12.85270564999998,126.40573615000002,X,force_out,ground_ball,Straightaway,True,1
2023,2023-08-27,716835,6,5,L,R,FF,8.0,163.91,71.72,96.05837679,315.8271650500001,X,single,line_drive,Oppo,False,2
2023,2023-08-26,716847,37,3,R,R,CH,8.0,38.62,114.27,-216.62424280000005,209.63636400000004,X,double,ground_ball,Pull,False,0
2023,2023-08-26,716847,22,3,R,R,FF,14.0,109.23,149.39,-40.40491349,121.98839848000007,X,grounded_into_double_play,ground_ball,Pull,True,0
2023,2023-08-26,716847,52,4,R,R,SL,4.0,107.08,102.17,-45.77060614000001,239.83398310000004,X,single,line_drive,Straightaway,False,1
2023,2023-08-26,716847,5,6,R,R,FF,5.0,193.14,143.53,169.00684011999996,136.61303054000004,X,field_out,fly_ball,Oppo,False,2
2023,2023-08-25,716861,40,2,R,R,SI,7.0,111.3,172.56,-35.23887452000002,64.16370141000003,X,field_error,ground_ball,Pull,False,0
2023,2023-08-25,716861,8,7,R,R,FF,6.0,190.09,79.72,161.39504357,295.86179705000006,X,double,line_drive,Oppo,False,2
2023,2023-08-25,716861,55,1,L,R,FF,2.0,163.67,68.59,95.45941574999998,323.63861528000007,X,field_out,fly_ball,Oppo,False,2
2023,2023-08-23,716879,48,1,R,R,KC,8.0,59.17,43.56,-165.33820375000002,386.10526041,X,home_run,fly_ball,Pull,False,0
2023,2023-08-23,716879,30,3,R,R,FS,1.0,89.06,160.47,-90.74259756000001,94.33636380000003,X,field_out,ground_ball,Pull,False,0
2023,2023-08-23,716879,94,5,R,R,SL,8.0,69.88,119.94,-138.60956734,195.48590943000005,X,field_out,fly_ball,Pull,False,0
2023,2023-08-23,716879,62,1,R,R,SI,9.0,130.03,75.8,11.50504331,305.64482737000003,X,field_out,fly_ball,Straightaway,False,1
2023,2023-08-22,716899,21,5,L,R,FF,3.0,114.78,80.56,-26.553939440000004,293.76543341000007,X,field_out,line_drive,Straightaway,False,1
2023,2023-08-22,716899,44,6,R,R,SL,9.0,158.1,107.14,81.55852827999999,227.43049823000004,X,field_out,fly_ball,Oppo,False,2
2023,2023-08-22,716899,78,6,R,R,SI,5.0,147.98,102.56,56.30233775999997,238.86067141000004,X,single,line_drive,Oppo,False,2
2023,2023-08-21,716911,20,7,L,R,FF,2.0,104.41,162.89,-52.434047710000016,88.29683998000007,X,grounded_into_double_play,ground_ball,Pull,False,0
2023,2023-08-21,716911,51,1,R,R,KC,9.0,105.6,158.62,-49.46419922000002,98.95335515000002,X,single,ground_ball,Pull,False,0
2023,2023-08-21,716911,39,5,R,R,SI,6.0,161.81,103.85,90.81746769000002,235.64125582000005,X,single,ground_ball,Oppo,False,2
2023,2023-08-21,716911,8,2,L,R,SI,6.0,98.63,79.81,-66.85902609000001,295.63718666000005,X,single,line_drive,Pull,False,0
2023,2023-08-20,716929,42,4,R,R,FF,5.0,143.9,65.9,46.12000008000001,330.35197027000004,X,field_out,fly_ball,Straightaway,False,1
2023,2023-08-20,716929,22,3,R,R,SI,4.0,94.73,93.79,-76.59214299,260.74770608000006,X,single,line_drive,Pull,False,0
2023,2023-08-20,716929,57,1,R,R,SL,8.0,110.45,159.18,-37.36019487,97.55577939000001,X,force_out,ground_ball,Pull,False,0
2023,2023-08-19,716941,71,3,R,R,KC,13.0,28.46,74.45,-241.98026016000003,309.01398322000006,X,home_run,fly_ball,Pull,True,0
2023,2023-08-19,716941,10,4,R,R,CU,12.0,103.68,155.35,-54.25588753999999,107.11419932000005,X,field_out,ground_ball,Pull,True,0
2023,2023-08-19,716941,62,3,R,R,FF,4.0,22.89,76.19,-255.88114763000002,304.67151568,X,home_run,fly_ball,Pull,False,0
2023,2023-08-18,716960,10,4,R,R,FF,11.0,136.46,39.52,27.55220784000002,396.18777125,X,field_out,fly_ball,Straightaway,True,1
2023,2023-08-16,716967,43,2,R,R,FF,4.0,84.18,56.93,-102.92147204,352.73813914000004,X,field_out,fly_ball,Pull,False,0
2023,2023-08-16,716967,30,2,R,R,SL,5.0,72.39,114.95,-132.34543313,207.93930772000004,X,single,ground_ball,Pull,False,0
2023,2023-08-16,716967,59,7,R,R,FF,6.0,130.24,146.02,12.029134220000019,130.39880975,X,field_out,ground_ball,Straightaway,False,1
2023,2023-08-16,716967,74,5,R,R,CU,4.0,109.03,156.92,-40.904047690000006,103.19599585000006,X,field_out,ground_ball,Pull,False,0
2023,2023-08-15,716990,30,2,L,R,CH,8.0,104.27,171.16,-52.78344165000002,67.65764081000005,X,force_out,ground_ball,Pull,False,0
2023,2023-08-15,716990,9,4,L,R,CU,6.0,182.85,86.04,143.32638552999998,280.08915633000004,X,field_out,fly_ball,Oppo,False,2
2023,2023-08-15,716990,47,1,R,R,FF,2.0,211.58,105.87,215.02701336000004,230.60000040000003,X,field_out,fly_ball,Oppo,False,2
2023,2023-08-13,717009,31,5,R,R,FF,6.0,148.07,165.34,56.52694814999998,82.18244603000002,X,field_out,ground_ball,Oppo,False,2
2023,2023-08-13,717009,73,3,R,R,FS,8.0,108.72,91.87,-41.67770570000001,265.53939440000005,X,single,ground_ball,Straightaway,False,1
2023,2023-08-13,717009,54,2,R,R,SI,8.0,105.67,158.55,-49.289502250000005,99.12805212,X,field_out,ground_ball,Pull,False,0
2023,2023-08-12,717028,39,2,R,R,SI,4.0,78.75,113.25,-116.47296557000001,212.18194842000005,X,single,ground_ball,Pull,False,0
2023,2023-08-12,717028,78,4,R,R,SL,5.0,175.77,115.79,125.65703485000003,205.84294408000002,X,single,line_drive,Oppo,False,2
2023,2023-08-12,717028,60,2,R,R,ST,4.0,98.05,169.24,-68.30651527000002,72.44932913000001,X,single,ground_ball,Pull,False,0
2023,2023-08-11,717044,67,3,L,R,SL,6.0,89.75,62.88,-89.02058457000001,337.8888966900001,X,double,line_drive,Pull,False,0
2023,2023-08-11,717044,22,6,L,R,CH,8.0,47.99,94.95,-193.23980553000004,257.85272772,X,single,line_drive,Pull,False,0
2023,2023-08-11,717044,39,3,R,R,CH,8.0,42.56,100.29,-206.79129906000003,244.52584458000004,X,double,line_drive,Pull,False,0
2023,2023-08-11,717044,7,4,L,R,CH,14.0,108.09,152.21,-43.24997843,114.95060626000001,X,field_out,ground_ball,Pull,True,0
2023,2023-08-10,717049,32,4,L,R,FF,2.0,153.58,153.97,70.27809536000004,110.55822530000003,X,field_out,ground_ball,Oppo,False,2
2023,2023-08-10,717049,14,2,L,R,SI,9.0,108.36,145.31,-42.576147260000006,132.17073616000002,X,field_out,line_drive,Pull,False,0
2023,2023-08-10,717049,62,1,L,R,SI,8.0,161.87,107.06,90.96720795000002,227.63015191000002,X,field_out,fly_ball,Oppo,False,2
2023,2023-08-10,717049,50,2,R,R,FF,1.0,65.36,46.88,-149.89000026000002,377.81963269000005,X,home_run,fly_ball,Pull,False,0
2023,2023-08-09,717066,38,1,L,R,CU,14.0,138.89,91.65,33.61668836999996,266.08844202000006,X,single,fly_ball,Straightaway,True,1
2023,2023-08-09,717066,18,3,L,R,FF,8.0,117.29,41.04,-20.289805229999992,392.39435133000006,X,field_out,fly_ball,Straightaway,False,1
2023,2023-08-09,717066,54,4,R,R,FF,3.0,111.14,152.21,-35.638181880000005,114.95060626000001,X,force_out,ground_ball,Pull,False,0
2023,2023-08-09,717066,5,3,L,R,CU,7.0,107.17,80.39,-45.54599575,294.18969748000006,X,single,line_drive,Straightaway,False,1
2023,2023-08-08,717096,42,5,R,R,ST,14.0,110.76,147.62,-36.586536859999995,126.40573615000002,X,single,ground_ball,Pull,True,0
