check,got,want,pass
W3 whiff_rate,0.28125,0.2812,True
W3 chase_rate,0.3218390804597701,0.3218,True
W3 swing_rate_in_zone,0.660377358490566,0.6604,True
W3 whiff_rate_in_zone,0.12857142857142856,0.1286,True
W3 ooz_whiff_rate,0.5357142857142857,0.5357,True
W3 srfp,0.33076923076923076,0.3308,True
W3 fpsr,0.5846153846153846,0.5846,True
W3 in_zone_rate_fix (D-7 corrected),0.44820295983086683,0.4482,True
W3 zone_null_rate,0.008385744234800839,0.0084,True
W3 bat_speed_mu,69.21285714285715,69.2129,True
W3 fast_swing_rate,0.1523809523809524,0.1524,True
W3 tracked_swings,210,210,True
month 3 plate_apps,23,23,True
month 3 ops,0.44466403162055335,0.4447,True
month 3 woba,0.20130434782608694,0.2013,True
month 3 krate,0.21739130434782608,0.2174,True
month 3 below_floor,True,True,True
month 4 plate_apps,116,116,True
month 4 ops,0.7552545155993432,0.7553,True
month 4 woba,0.33391379310344826,0.3339,True
month 4 krate,0.19827586206896552,0.1983,True
month 4 below_floor,False,False,True
month 5 plate_apps,117,117,True
month 5 ops,0.5285285285285285,0.5285,True
month 5 woba,0.23208547008547012,0.2321,True
month 5 krate,0.23931623931623933,0.2393,True
month 5 below_floor,False,False,True
month 6 plate_apps,115,115,True
month 6 ops,0.6926731078904993,0.6927,True
month 6 woba,0.30707826086956524,0.3071,True
month 6 krate,0.24347826086956523,0.2435,True
month 6 below_floor,False,False,True
month 7 plate_apps,102,102,True
month 7 ops,0.8971631205673758,0.8972,True
month 7 woba,0.3814117647058824,0.3814,True
month 7 krate,0.21568627450980393,0.2157,True
month 7 below_floor,False,False,True
month 8 plate_apps,120,120,True
month 8 ops,0.5720404984423676,0.572,True
month 8 woba,0.2590672268907563,0.2591,True
month 8 krate,0.18333333333333332,0.1833,True
month 8 below_floor,False,False,True
month 9 plate_apps,9,9,True
month 9 ops,0.3333333333333333,0.3333,True
month 9 woba,0.14022222222222222,0.1402,True
month 9 krate,0.3333333333333333,0.3333,True
month 9 below_floor,True,True,True
platoon 2020 L pa,64,64,True
