game_year,batter,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,whiff_rate,chase_rate,swing_rate,swing_rate_in_zone,whiff_rate_in_zone,hard_hit_rate,barrel_rate,pull_air_rate,mean_ev,mean_la,pu_rate,gb_rate
2016,596748,630,2246,581,148,40,33,5,106,4,99,23,1,25,479,0.2547,0.3063,0.4269,0.7332,0.1721,0.1683,0.0635,0.2709,0.3111,0.2424,0.3214,0.5142,0.724,0.1669,0.4071,0.0689,0.2296,89.5304,11.7679,0.1023,0.453
2016,605125,218,914,197,42,18,18,2,54,1,23,15,0,4,144,0.2132,0.2844,0.3503,0.6347,0.1371,0.2477,0.0826,0.2714,0.2787,0.198,0.2593,0.4475,0.6612,0.1131,0.2986,0.0347,0.2222,85.6042,14.9097,0.0972,0.3958
2017,433217,144,553,130,25,12,12,0,34,2,18,4,0,3,98,0.1923,0.2569,0.2923,0.5493,0.1,0.2361,0.0833,0.2316,0.2428,0.3007,0.3053,0.5353,0.7448,0.2083,0.2347,0.0306,0.1633,84.4113,8.7423,0.0816,0.5204
2017,435062,156,620,141,48,11,11,3,30,1,37,8,1,2,112,0.3404,0.3974,0.4539,0.8513,0.1135,0.1923,0.0705,0.4182,0.3693,0.2184,0.3003,0.4726,0.6513,0.1717,0.3393,0.0893,0.1161,88.9473,1.1455,0.0268,0.5714
2017,459431,212,906,200,41,11,11,1,51,0,24,9,2,6,149,0.205,0.25,0.36,0.61,0.155,0.2406,0.0519,0.2448,0.2616,0.2397,0.2727,0.4834,0.7123,0.1498,0.3087,0.0738,0.2013,85.8129,13.3878,0.1007,0.4295
2017,514917,576,2316,511,150,60,60,4,104,1,109,26,6,9,408,0.2935,0.3715,0.4207,0.7923,0.1272,0.1806,0.1042,0.3534,0.3459,0.208,0.2042,0.4111,0.6151,0.1453,0.2966,0.0294,0.1005,85.4533,4.4899,0.027,0.549
2017,519237,328,1370,295,64,31,31,1,114,1,33,17,0,14,182,0.2169,0.2927,0.4169,0.7096,0.2,0.3476,0.0945,0.2976,0.3043,0.3718,0.2626,0.4555,0.6677,0.3234,0.4176,0.0989,0.1319,88.6247,8.4011,0.0604,0.4945
2017,520471,661,2641,608,155,43,43,4,111,4,108,29,6,12,503,0.2549,0.3065,0.3816,0.6881,0.1266,0.1679,0.0651,0.2924,0.2977,0.1772,0.32,0.4892,0.6735,0.1165,0.2366,0.0239,0.1968,85.8879,14.8117,0.0895,0.3897
2017,537953,214,859,183,55,26,26,3,38,2,42,8,1,4,147,0.3005,0.3925,0.4208,0.8133,0.1202,0.1776,0.1215,0.3566,0.3568,0.1775,0.1914,0.4133,0.6236,0.12,0.3061,0.0476,0.1565,87.2701,10.8571,0.034,0.4354
2017,546318,560,2180,527,148,27,27,4,126,2,89,42,3,14,402,0.2808,0.3196,0.4516,0.7713,0.1708,0.225,0.0482,0.3445,0.3282,0.2657,0.3815,0.5335,0.7119,0.1821,0.3259,0.0622,0.1716,87.2258,9.6861,0.0771,0.4502
2017,547957,96,404,87,20,9,9,0,19,0,15,4,1,0,68,0.2299,0.3021,0.2989,0.6009,0.069,0.1979,0.0938,0.2941,0.2695,0.1696,0.1841,0.4233,0.6601,0.1269,0.4118,0.0735,0.1176,89.6896,9.9701,0.0294,0.4853
2017,571437,410,1593,372,101,30,30,7,104,1,53,24,5,19,269,0.2715,0.3366,0.5161,0.8527,0.2446,0.2537,0.0732,0.328,0.3592,0.2994,0.2552,0.4444,0.641,0.212,0.4312,0.1041,0.1822,89.2543,11.2119,0.0818,0.4349
2017,571830,532,2026,495,119,32,32,2,129,3,69,27,1,22,369,0.2404,0.2876,0.4323,0.7199,0.1919,0.2425,0.0602,0.2795,0.3055,0.2657,0.3443,0.4961,0.6771,0.1648,0.4011,0.0732,0.206,89.2716,14.1202,0.0976,0.4173
2017,571841,104,427,88,17,8,8,1,24,3,8,7,0,2,71,0.1932,0.26,0.3409,0.6009,0.1477,0.2308,0.0769,0.2308,0.2587,0.2209,0.1818,0.3817,0.5546,0.1969,0.169,0.0282,0.2254,83.906,13.403,0.0845,0.4648
2017,573088,97,348,88,16,5,5,2,23,2,10,5,0,1,67,0.1818,0.2371,0.2727,0.5098,0.0909,0.2371,0.0515,0.2273,0.225,0.2453,0.2912,0.4569,0.6386,0.1509,0.3881,0.0149,0.1642,87.2955,7.3433,0.0746,0.5224
2017,595284,201,817,172,44,27,27,0,56,2,32,8,1,3,117,0.2558,0.3532,0.3663,0.7195,0.1105,0.2786,0.1343,0.3565,0.319,0.2762,0.1956,0.4211,0.6486,0.2121,0.4017,0.0256,0.094,88.8615,4.6581,0.0171,0.5897
2017,595426,90,406,78,13,12,12,0,22,0,8,2,1,2,56,0.1667,0.2778,0.2949,0.5726,0.1282,0.2444,0.1333,0.2037,0.259,0.1637,0.2146,0.4212,0.6318,0.1732,0.25,0.0536,0.1607,87.5125,14.25,0.1071,0.3929
2017,595751,113,391,107,34,2,2,4,33,0,23,6,0,5,74,0.3178,0.354,0.514,0.868,0.1963,0.292,0.0177,0.4203,0.3694,0.3719,0.4221,0.6189,0.8229,0.2342,0.3649,0.0946,0.1081,88.0824,8.2162,0.027,0.527
2017,596748,620,2334,575,132,38,38,2,95,5,78,29,1,24,485,0.2296,0.2774,0.4087,0.6861,0.1791,0.1532,0.0613,0.2343,0.2919,0.2232,0.2847,0.503,0.7468,0.1756,0.3629,0.0598,0.1959,88.8213,11.441,0.099,0.4577
2017,605400,54,218,48,4,4,4,0,25,0,4,0,0,0,25,0.0833,0.1538,0.0833,0.2372,0.0,0.463,0.0741,0.1739,0.1208,0.3289,0.125,0.3486,0.4783,0.2727,0.08,0.0,0.0,,,0.0,0.88
2017,608384,343,1217,313,90,20,20,6,97,4,60,14,4,12,220,0.2875,0.3382,0.4728,0.811,0.1853,0.2828,0.0583,0.375,0.3441,0.3449,0.3855,0.5908,0.8152,0.2754,0.4136,0.0773,0.1182,88.13,7.7318,0.0227,0.5
2017,641487,87,407,70,15,16,16,0,22,1,10,4,1,0,49,0.2143,0.3563,0.3,0.6563,0.0857,0.2529,0.1839,0.3061,0.3027,0.2156,0.1961,0.4103,0.6287,0.1575,0.2245,0.0,0.1224,83.3816,18.6122,0.1224,0.3265
2017,656555,211,985,170,44,36,36,3,46,2,19,7,0,18,126,0.2588,0.3934,0.6176,1.011,0.3588,0.218,0.1706,0.2407,0.4173,0.2063,0.1908,0.3838,0.5814,0.1489,0.4524,0.1349,0.2857,90.8865,18.3889,0.0635,0.3095
2018,430832,57,262,45,11,11,11,1,15,0,5,4,0,2,30,0.2444,0.4035,0.4667,0.8702,0.2222,0.2632,0.193,0.3214,0.3818,0.31,0.1793,0.3817,0.6325,0.1622,0.4333,0.0667,0.3667,92.5267,17.3667,0.0667,0.2667
2018,452678,185,666,171,39,12,12,2,38,0,21,13,0,5,133,0.2281,0.2865,0.3918,0.6783,0.1637,0.2054,0.0649,0.2656,0.295,0.2523,0.2903,0.5,0.7192,0.1974,0.3534,0.0677,0.188,89.4667,16.8992,0.0902,0.4211
