game_year,game_pk,pitcher,half,n_heart,n_edge_in,n_edge_out,n_beyond,located_pitches,swings_beyond,swings_edge_out,shadow_zone_rate,shadow_miss_rate,geo_zone_rate,edge_rate_twin,beyond_shadow_chase_rate,edge_out_chase_rate,beyond_miss_depth_ft,is_subject
2025,776648,676917,2H,29,15,15,36,95,14.0,8.0,0.6211,0.3789,0.4632,0.3158,0.3889,0.5333,0.6913,False
2025,776662,622491,2H,18,15,21,34,88,4.0,13.0,0.6136,0.3864,0.375,0.4091,0.1176,0.619,0.79,False
2025,776662,666200,2H,28,17,13,31,89,12.0,6.0,0.6517,0.3483,0.5056,0.3371,0.3871,0.4615,0.53,False
2025,776680,650911,2H,20,23,15,38,96,17.0,5.0,0.6042,0.3958,0.4479,0.3958,0.4474,0.3333,0.605,True
2025,776680,682243,2H,28,20,14,23,85,7.0,6.0,0.7294,0.2706,0.5647,0.4,0.3043,0.4286,0.51,False
2025,776689,624133,2H,30,19,19,34,102,10.0,7.0,0.6667,0.3333,0.4804,0.3725,0.2941,0.3684,0.515,False
2025,776689,669302,2H,22,7,18,18,65,2.0,10.0,0.7231,0.2769,0.4462,0.3846,0.1111,0.5556,0.5792,False
2025,776708,605400,2H,12,11,6,24,53,7.0,4.0,0.5472,0.4528,0.434,0.3208,0.2917,0.6667,0.48,False
2025,776708,680730,2H,11,10,15,16,52,1.0,6.0,0.6923,0.3077,0.4038,0.4808,0.0625,0.4,0.5847,False
2025,776725,592836,2H,26,19,11,38,94,10.0,4.0,0.5957,0.4043,0.4787,0.3191,0.2632,0.3636,0.5267,False
2025,776725,676917,2H,32,16,16,26,90,6.0,7.0,0.7111,0.2889,0.5333,0.3556,0.2308,0.4375,0.7438,False
2025,776739,554430,2H,30,18,7,42,97,11.0,4.0,0.567,0.433,0.4948,0.2577,0.2619,0.5714,0.5254,False
2025,776739,669022,2H,26,21,10,34,91,6.0,5.0,0.6264,0.3736,0.5165,0.3407,0.1765,0.5,0.7277,False
2025,776743,666200,2H,28,20,15,34,97,9.0,7.0,0.6495,0.3505,0.4948,0.3608,0.2647,0.4667,0.63,False
2025,776743,695418,2H,25,14,22,31,92,6.0,11.0,0.663,0.337,0.4239,0.3913,0.1935,0.5,0.64,False
2025,776765,650911,2H,32,19,11,19,81,2.0,5.0,0.7654,0.2346,0.6296,0.3704,0.1053,0.4545,0.5728,True
2025,776765,668881,2H,27,13,17,28,85,11.0,7.0,0.6706,0.3294,0.4706,0.3529,0.3929,0.4118,0.6032,False
2025,776777,624133,2H,33,18,17,24,92,6.0,7.0,0.7391,0.2609,0.5543,0.3804,0.25,0.4118,0.495,False
2025,776777,663903,2H,17,22,11,21,71,6.0,5.0,0.7042,0.2958,0.5493,0.4648,0.2857,0.4545,0.52,False
2025,776792,592836,2H,25,18,18,32,93,3.0,10.0,0.6559,0.3441,0.4624,0.3871,0.0938,0.5556,0.6096,False
2025,776792,671096,2H,24,25,21,34,104,9.0,15.0,0.6731,0.3269,0.4712,0.4423,0.2647,0.7143,0.625,False
2025,776800,554430,2H,18,14,9,42,83,14.0,4.0,0.494,0.506,0.3855,0.2771,0.3333,0.4444,0.565,False
2025,776800,571578,2H,19,10,11,38,78,16.0,6.0,0.5128,0.4872,0.3718,0.2692,0.4211,0.5455,0.61,False
2025,776810,594798,2H,14,23,13,49,99,17.0,12.0,0.5051,0.4949,0.3737,0.3636,0.3469,0.9231,0.69,False
2025,776810,666200,2H,25,12,18,27,82,8.0,6.0,0.6707,0.3293,0.4512,0.3659,0.2963,0.3333,0.49,False
2025,776821,518876,2H,15,20,12,47,94,14.0,9.0,0.5,0.5,0.3723,0.3404,0.2979,0.75,0.54,False
2025,776821,650911,2H,32,19,13,37,101,8.0,7.0,0.6337,0.3663,0.505,0.3168,0.2162,0.5385,0.62,True
2025,776851,624133,2H,29,15,13,38,95,12.0,4.0,0.6,0.4,0.4632,0.2947,0.3158,0.3077,0.5297,False
2025,776851,669432,2H,31,20,23,30,104,5.0,12.0,0.7115,0.2885,0.4904,0.4135,0.1667,0.5217,0.61,False
2025,776868,592836,2H,25,10,19,29,83,8.0,9.0,0.6506,0.3494,0.4217,0.3494,0.2759,0.4737,0.461,False
2025,776868,665152,2H,29,10,15,49,103,18.0,7.0,0.5243,0.4757,0.3786,0.2427,0.3673,0.4667,0.5108,False
2025,776877,666200,2H,25,17,16,33,91,9.0,11.0,0.6374,0.3626,0.4615,0.3626,0.2727,0.6875,0.49,False
2025,776877,700249,2H,20,18,14,38,90,9.0,5.0,0.5778,0.4222,0.4222,0.3556,0.2368,0.3571,0.6736,False
2025,776890,450203,2H,22,13,13,36,84,16.0,7.0,0.5714,0.4286,0.4167,0.3095,0.4444,0.5385,0.48,False
2025,776890,650911,2H,21,21,14,28,84,10.0,6.0,0.6667,0.3333,0.5,0.4167,0.3571,0.4286,0.58,True
2025,776912,554430,2H,30,19,12,37,98,13.0,7.0,0.6224,0.3776,0.5,0.3163,0.3514,0.5833,0.6251,False
2025,776912,669373,2H,33,22,11,32,98,9.0,9.0,0.6735,0.3265,0.5612,0.3367,0.2812,0.8182,0.74,False
2025,776913,624133,2H,20,23,17,32,92,4.0,8.0,0.6522,0.3478,0.4674,0.4348,0.125,0.4706,0.55,False
2025,776913,656427,2H,20,18,18,39,95,13.0,7.0,0.5895,0.4105,0.4,0.3789,0.3333,0.3889,0.66,False
2025,776939,592836,2H,28,17,6,29,80,2.0,1.0,0.6375,0.3625,0.5625,0.2875,0.069,0.1667,0.54,False
2025,776952,666200,2H,33,19,17,21,90,4.0,7.0,0.7667,0.2333,0.5778,0.4,0.1905,0.4118,0.56,False
2025,776952,686563,2H,29,13,14,31,87,4.0,11.0,0.6437,0.3563,0.4828,0.3103,0.129,0.7857,0.61,False
2025,776972,650911,2H,28,22,15,23,88,6.0,5.0,0.7386,0.2614,0.5682,0.4205,0.2609,0.3333,0.52,True
2025,776972,663436,2H,18,20,19,37,94,11.0,11.0,0.6064,0.3936,0.4043,0.4149,0.2973,0.5789,0.6101,False
2025,776988,554430,2H,24,14,19,46,103,10.0,11.0,0.5534,0.4466,0.3689,0.3204,0.2174,0.5789,0.6959,False
2025,776988,607074,2H,18,24,9,39,90,11.0,6.0,0.5667,0.4333,0.4667,0.3667,0.2821,0.6667,0.64,False
2025,777001,573186,2H,18,13,12,46,89,13.0,5.0,0.4831,0.5169,0.3483,0.2809,0.2826,0.4167,0.431,False
2025,777001,624133,2H,25,24,15,44,108,12.0,8.0,0.5926,0.4074,0.4537,0.3611,0.2727,0.5333,0.565,False
2025,777015,592836,2H,21,18,17,27,83,4.0,11.0,0.6747,0.3253,0.4699,0.4217,0.1481,0.6471,0.68,False
2025,777015,701542,2H,18,16,20,35,89,9.0,10.0,0.6067,0.3933,0.382,0.4045,0.2571,0.5,0.61,False
2025,777038,608337,2H,20,6,8,23,57,6.0,4.0,0.5965,0.4035,0.4561,0.2456,0.2609,0.5,0.77,False
2025,777038,666200,2H,26,8,16,38,88,10.0,6.0,0.5682,0.4318,0.3864,0.2727,0.2632,0.375,0.6219,False
2025,777045,650911,2H,38,22,13,33,106,8.0,6.0,0.6887,0.3113,0.566,0.3302,0.2424,0.4615,0.48,True
2025,777045,690916,2H,16,11,15,23,65,6.0,7.0,0.6462,0.3538,0.4154,0.4,0.2609,0.4667,0.8,False
2025,777063,554430,2H,28,15,14,48,105,17.0,8.0,0.5429,0.4571,0.4095,0.2762,0.3542,0.5714,0.582,False
