population,game_year,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,xwoba,xwobacon,chases,ooz,chase_rate,in_zone_rate,swings,whiffs,whiff_rate,fpsr,edge_pitches,edge_rate,n_heart,n_edge_in,n_edge_out,n_beyond,located_pitches,swings_beyond,swings_edge_out,shadow_zone_rate,shadow_miss_rate,geo_zone_rate,edge_rate_twin,beyond_shadow_chase_rate,edge_out_chase_rate,beyond_miss_depth_ft,pitch_share_ahead,pitch_share_even,pitch_share_behind,two_strike_pa_share,three_ball_pa_share,hbp,bb_hbp_rate,zone_swing_rate,half
LHP in PHI games,2025,18589,4835,3235,1072,130,339,1213,0.243,0.301,0.38,0.681,0.298,0.251,0.07,0.027,0.3038249887593672,0.3722177570093458,2828,9175,0.308,0.506,9153,2488,0.2718234458647438,0.6493694438701675,6557,0.353,5266,3519,3038,6764,18587,1673,1516,0.6361,0.3639,0.4726,0.3528,0.2473,0.499,0.61,0.3109,0.4455,0.2435,0.535,0.1817,42,0.07880041365046536,0.671871680475887,season
LHP in PHI games,2026,16028,4116,2716,916,110,309,1023,0.247,0.31,0.388,0.698,0.308,0.249,0.075,0.027,0.2975526387524558,0.35612653516933385,2810,8520,0.33,0.468,7660,2135,0.27872062663185376,0.6218119990284188,5724,0.358,3781,2995,2729,6489,15994,1793,1414,0.5943,0.4057,0.4237,0.3579,0.2763,0.5181,0.6424,0.2984,0.441,0.2605,0.5454,0.1923,53,0.08794946550048591,0.6459776238678743,season
LHP in PHI games,2021,6844,1724,1092,370,55,156,444,0.244,0.323,0.406,0.728,0.317,0.258,0.09,0.032,0.3676868686868687,0.3676868686868687,963,3501,0.275,0.488,3218,862,0.26786824114356744,0.593279258400927,2369,0.346,1841,1258,1111,2634,6844,569,531,0.6151,0.3849,0.4528,0.3461,0.216,0.4779,0.65,0.2963,0.43,0.2737,0.5574,0.2068,30,0.10788863109048724,0.6745438229135508,1H
LHP in PHI games,2021,5576,1444,979,306,40,134,316,0.24,0.315,0.388,0.703,0.306,0.219,0.093,0.028,0.32353783231083844,0.32353783231083844,769,2814,0.273,0.495,2667,639,0.23959505061867267,0.6143745680718729,1908,0.342,1545,1027,881,2123,5576,480,372,0.6193,0.3807,0.4613,0.3422,0.2261,0.4222,0.62,0.2812,0.4469,0.2719,0.5331,0.1906,15,0.10318559556786704,0.6871832005792904,2H
LHP in PHI games,2022,7141,1782,1193,390,49,176,386,0.25,0.332,0.411,0.743,0.326,0.217,0.099,0.027,0.37301522842639595,0.37301522842639595,1045,3764,0.278,0.473,3220,786,0.24409937888198757,0.5958520179372198,2516,0.352,1744,1340,1176,2880,7140,656,548,0.5966,0.4034,0.4319,0.3524,0.2278,0.466,0.64,0.2844,0.4389,0.2767,0.5389,0.2185,25,0.1127946127946128,0.6440627776132662,1H
LHP in PHI games,2022,6234,1629,1109,387,42,117,383,0.261,0.319,0.416,0.735,0.321,0.235,0.072,0.026,0.36969482288828337,0.36969482288828337,1004,3223,0.312,0.483,2989,757,0.2532619605219137,0.614487415592388,2181,0.35,1598,1193,988,2455,6234,618,504,0.6062,0.3938,0.4477,0.3499,0.2517,0.5101,0.65,0.2944,0.4416,0.264,0.5298,0.1823,15,0.08103130755064457,0.6592494187977416,2H
LHP in PHI games,2023,8514,2192,1477,492,71,138,552,0.244,0.297,0.407,0.703,0.304,0.252,0.063,0.032,0.374619918699187,0.374619918699187,1318,4200,0.314,0.507,4138,1126,0.2721121314644756,0.6127853881278539,3092,0.363,2312,1673,1419,3110,8514,797,702,0.6347,0.3653,0.4681,0.3632,0.2563,0.4947,0.6,0.3016,0.446,0.2524,0.5523,0.1765,20,0.07208029197080291,0.6536856745479833,1H
LHP in PHI games,2023,6727,1743,1128,389,68,154,435,0.252,0.325,0.442,0.767,0.331,0.25,0.088,0.039,0.37242945874001776,0.37242945874001776,1106,3458,0.32,0.486,3221,897,0.27848494256442097,0.6412607449856733,2369,0.352,1779,1254,1115,2579,6727,699,539,0.6166,0.3834,0.4509,0.3522,0.271,0.4834,0.63,0.3163,0.4369,0.2468,0.5536,0.1943,24,0.102122776821572,0.6469868461303151,2H
LHP in PHI games,2024,9810,2544,1710,564,56,207,601,0.245,0.311,0.375,0.686,0.302,0.236,0.081,0.022,0.3125312841897233,0.37209288653733097,1480,4926,0.3,0.498,4735,1194,0.25216473072861667,0.6335697399527187,3482,0.355,2688,1823,1659,3640,9810,884,815,0.629,0.371,0.4598,0.3549,0.2429,0.4913,0.62,0.3065,0.443,0.2505,0.5314,0.1884,21,0.08962264150943396,0.6664619164619164,1H
LHP in PHI games,2024,6368,1667,1181,407,49,121,346,0.269,0.326,0.431,0.757,0.328,0.208,0.073,0.029,0.3186557109090909,0.3692150814053128,991,3216,0.308,0.495,3197,767,0.23991241789177353,0.6534534534534534,2273,0.357,1743,1177,1096,2352,6368,577,561,0.6307,0.3693,0.4585,0.3569,0.2453,0.5119,0.62,0.3098,0.4428,0.2473,0.518,0.1793,16,0.08218356328734253,0.6998730964467005,2H
LHP in PHI games,2025,10540,2753,1852,618,63,201,674,0.246,0.305,0.37,0.675,0.296,0.245,0.073,0.023,0.30542555986818015,0.37074019607843134,1654,5258,0.315,0.501,5204,1376,0.2644119907763259,0.6498548621190131,3722,0.353,2975,1957,1765,3842,10539,954,909,0.6354,0.3646,0.468,0.3532,0.2483,0.515,0.6167,0.3087,0.4455,0.2457,0.5234,0.1863,20,0.08027606247729749,0.672093903824309,1H
LHP in PHI games,2025,8049,2082,1383,454,67,138,539,0.238,0.295,0.394,0.689,0.3,0.259,0.066,0.032,0.30171637337192475,0.37419213973799126,1174,3917,0.3,0.513,3949,1112,0.28159027601924536,0.6487265737626141,2835,0.352,2291,1562,1273,2922,8048,719,607,0.6369,0.3631,0.4788,0.3523,0.2461,0.4768,0.6,0.3138,0.4455,0.2407,0.5504,0.1756,22,0.07684918347742556,0.6715876089060987,2H
LHP in PHI games,2026,10523,2686,1756,600,72,193,692,0.247,0.308,0.388,0.696,0.307,0.258,0.072,0.027,0.295000366440933,0.35873647871116227,1882,5576,0.338,0.47,5080,1458,0.287007874015748,0.6253720238095238,3832,0.365,2426,2036,1796,4244,10502,1198,947,0.5959,0.4041,0.4249,0.3649,0.2823,0.5273,0.6425,0.3036,0.4391,0.2572,0.5592,0.1916,35,0.08488458674609084,0.6464523953911462,1H
LHP in PHI games,2026,5505,1430,960,316,38,116,331,0.247,0.315,0.389,0.703,0.311,0.231,0.081,0.027,0.30235033309759546,0.35134668071654374,928,2944,0.315,0.465,2580,677,0.2624031007751938,0.6151154653603919,1892,0.345,1355,959,933,2245,5492,595,467,0.5912,0.4088,0.4213,0.3445,0.265,0.5005,0.6424,0.2885,0.4447,0.2668,0.5196,0.1937,18,0.0937062937062937,0.645060523233112,2H
