pitcher,pitcher_name,name_tier,name_display
592612,Josh Osich,T2_des,Josh Osich
433586,,UNRESOLVED,MLBAM 433586
285064,Ryan Vogelsong,T2_des,Ryan Vogelsong
519326,Hunter Strickland,T2_des,Hunter Strickland
425657,Javier Lopez,T2_des,Javier Lopez
489265,,UNRESOLVED,MLBAM 489265
502004,George Kontos,T2_des,George Kontos
518516,Madison Bumgarner,T2_des,Madison Bumgarner
433589,Yusmeiro Petit,T2_des,Yusmeiro Petit
477132,"Kershaw, Clayton",T1_keyed,Clayton Kershaw
621962,Ian Thomas,T2_des,Ian Thomas
474668,,UNRESOLVED,MLBAM 474668
554340,Yimi Garcia,T2_des,Yimi Garcia
571893,,UNRESOLVED,MLBAM 571893
276351,,UNRESOLVED,MLBAM 276351
434665,Nick Masset,T2_des,Nick Masset
445968,,UNRESOLVED,MLBAM 445968
490063,Matt Garza,T2_des,Matt Garza
518468,,UNRESOLVED,MLBAM 518468
455009,,UNRESOLVED,MLBAM 455009
346798,Kyle Lohse,T2_des,Kyle Lohse
543699,"Roark, Tanner",T1_keyed,Tanner Roark
502304,,UNRESOLVED,MLBAM 502304
519322,Drew Storen,T2_des,Drew Storen
453286,Max Scherzer,T2_des,Max Scherzer
467100,Ivan Nova,T2_des,Ivan Nova
514981,Diego Moreno,T2_des,Diego Moreno
571951,Bryan Mitchell,T2_des,Bryan Mitchell
282332,CC Sabathia,T2_des,CC Sabathia
476454,Dellin Betances,T2_des,Dellin Betances
592705,,UNRESOLVED,MLBAM 592705
458677,Justin Wilson,T2_des,Justin Wilson
592741,Chasen Shreve,T2_des,Chasen Shreve
572038,,UNRESOLVED,MLBAM 572038
501381,Michael Pineda,T2_des,Michael Pineda
425626,Chris Capuano,T2_des,Chris Capuano
608379,Michael Wacha,T2_des,Michael Wacha
279571,Matt Belisle,T2_des,Matt Belisle
595307,Seth Maness,T2_des,Seth Maness
462515,,UNRESOLVED,MLBAM 462515
407793,John Lackey,T2_des,John Lackey
572096,Trevor Rosenthal,T2_des,Trevor Rosenthal
329092,Randy Choate,T2_des,Randy Choate
544928,Tyler Lyons,T2_des,Tyler Lyons
453646,Carlos Villanueva,T2_des,Carlos Villanueva
542960,Brad Brach,T2_des,Brad Brach
503285,Darren O'Day,T2_des,Darren O'Day
434622,Ubaldo Jimenez,T2_des,Ubaldo Jimenez
451085,,UNRESOLVED,MLBAM 451085
502154,Zack Britton,T2_des,Zack Britton
475054,Chaz Roe,T2_des,Chaz Roe
501957,Chris Tillman,T2_des,Chris Tillman
488984,"Hunter, Tommy",T1_keyed,Tommy Hunter
612672,Wei-Yin Chen,T2_des,Wei-Yin Chen
150359,A.  J,T2_des,A.  J
455374,"Bastardo, Antonio",T1_keyed,Antonio Bastardo
453172,"Hughes, Jared",T1_keyed,Jared Hughes
543037,Gerrit Cole,T2_des,Gerrit Cole
453265,Tony Watson,T2_des,Tony Watson
491708,,UNRESOLVED,MLBAM 491708
453343,Mark Melancon,T2_des,Mark Melancon
502046,Jeff Locke,T2_des,Jeff Locke
543746,,UNRESOLVED,MLBAM 543746
621209,,UNRESOLVED,MLBAM 621209
458919,Ryan Mattheus,T2_des,Ryan Mattheus
543331,,UNRESOLVED,MLBAM 543331
547973,Aroldis Chapman,T2_des,Aroldis Chapman
571561,Tony Cingrani,T2_des,Tony Cingrani
543101,Anthony DeSclafani,T2_des,Anthony DeSclafani
502264,,UNRESOLVED,MLBAM 502264
448159,,UNRESOLVED,MLBAM 448159
502190,Mike Leake,T2_des,Mike Leake
346793,Jeremy Affeldt,T2_des,Jeremy Affeldt
453311,Tim Lincecum,T2_des,Tim Lincecum
456501,"Cueto, Johnny",T1_keyed,Johnny Cueto
471822,Jumbo Diaz,T2_des,Jumbo Diaz
543734,Chris Rusin,T2_des,Chris Rusin
543475,Jordan Lyles,T2_des,Jordan Lyles
623184,Scott Oberg,T2_des,Scott Oberg
453156,,UNRESOLVED,MLBAM 453156
543184,Christian Friedrich,T2_des,Christian Friedrich
572750,Eddie Butler,T2_des,Eddie Butler
446099,John Axford,T2_des,John Axford
457429,Boone Logan,T2_des,Boone Logan
429783,,UNRESOLVED,MLBAM 429783
518452,Chad Bettis,T2_des,Chad Bettis
456776,,UNRESOLVED,MLBAM 456776
502578,,UNRESOLVED,MLBAM 502578
595918,A.  J,T2_des,A.  J
407822,Jorge De La Rosa,T2_des,Jorge De La Rosa
548357,,UNRESOLVED,MLBAM 548357
594977,"Roberts, Ken",T1_keyed,Ken Roberts
456071,Yohan Flande,T2_des,Yohan Flande
517414,Randall Delgado,T2_des,Randall Delgado
500724,,UNRESOLVED,MLBAM 500724
605151,"Bradley, Archie",T1_keyed,Archie Bradley
446899,Brad Ziegler,T2_des,Brad Ziegler
542609,,UNRESOLVED,MLBAM 542609
424144,,UNRESOLVED,MLBAM 424144
474699,Vance Worley,T2_des,Vance Worley
467785,,UNRESOLVED,MLBAM 467785
489039,,UNRESOLVED,MLBAM 489039
434538,Francisco Liriano,T2_des,Francisco Liriano
234194,,UNRESOLVED,MLBAM 234194
592314,Mike Foltynewicz,T2_des,Mike Foltynewicz
592533,,UNRESOLVED,MLBAM 592533
453264,,UNRESOLVED,MLBAM 453264
543409,,UNRESOLVED,MLBAM 543409
608641,,UNRESOLVED,MLBAM 608641
543779,"Siegrist, Kevin",T1_keyed,Kevin Siegrist
593372,Carlos Martinez,T2_des,Carlos Martinez
477229,,UNRESOLVED,MLBAM 477229
518771,,UNRESOLVED,MLBAM 518771
475479,"Phelps, David",T1_keyed,David Phelps
606160,Rafael Montero,T2_des,Rafael Montero
460283,"Blevins, Jerry",T1_keyed,Jerry Blevins
489334,Craig Stammen,T2_des,Craig Stammen
475416,Justin Masterson,T2_des,Justin Masterson
444520,,UNRESOLVED,MLBAM 444520
465629,,UNRESOLVED,MLBAM 465629
519144,Rick Porcello,T2_des,Rick Porcello
453329,"Buchholz, Clay",T1_keyed,Clay Buchholz
571527,"Buchanan, David",T1_keyed,David Buchanan
648737,"Hinojosa, Dalier",T1_keyed,Dalier Hinojosa
571704,"Giles, Ken",T1_keyed,Ken Giles
472610,"García, Luis",T1_keyed,Luis García
421685,"Harang, Aaron",T1_keyed,Aaron Harang
594742,"Asher, Alec",T1_keyed,Alec Asher
518603,"De Fratus, Justin",T1_keyed,Justin De Fratus
605396,"Murray, Colton",T1_keyed,Colton Murray
593576,"Neris, Hector",T1_keyed,Hector Neris
429400,"Loewen, Adam",T1_keyed,Adam Loewen
596331,"Ogando, Nefi",T1_keyed,Nefi Ogando
595191,"Eickhoff, Jerad",T1_keyed,Jerad Eickhoff
425532,"Williams, Jerome",T1_keyed,Jerome Williams
491646,"Gómez, Jeanmar",T1_keyed,Jeanmar Gómez
605400,"Nola, Aaron",T1_keyed,Aaron Nola
605388,"Morgan, Adam",T1_keyed,Adam Morgan
542587,"Araujo, Elvis",T1_keyed,Elvis Araujo
462945,"Jimenez, Cesar",T1_keyed,Cesar Jimenez
430935,"Hamels, Cole",T1_keyed,Cole Hamels
518617,"Diekman, Jake",T1_keyed,Jake Diekman
451532,"Billingsley, Chad",T1_keyed,Chad Billingsley
605894,"González, Severino",T1_keyed,Severino González
457711,"O'Sullivan, Sean",T1_keyed,Sean O'Sullivan
429781,"Correia, Kevin",T1_keyed,Kevin Correia
519229,"Rosin, Seth",T1_keyed,Seth Rosin
518418,"Aumont, Phillippe",T1_keyed,Phillippe Aumont
430661,"McGowan, Dustin",T1_keyed,Dustin McGowan
425796,"Francoeur, Jeff",T1_keyed,Jeff Francoeur
593679,Gabriel Ynoa,T2_des,Gabriel Ynoa
449104,Jim Henderson,T2_des,Jim Henderson
519294,Josh Smoker,T2_des,Josh Smoker
572831,Josh Edgin,T2_des,Josh Edgin
477569,"Salas, Fernando",T1_keyed,Fernando Salas
607229,Robert Gsellman,T2_des,Robert Gsellman
542432,Jose Ramirez,T2_des,Jose Ramirez
606291,,UNRESOLVED,MLBAM 606291
571871,Ian Krol,T2_des,Ian Krol
503444,Joel De La Cruz,T2_des,Joel De La Cruz
607231,John Gant,T2_des,John Gant
592433,Tyrell Jenkins,T2_des,Tyrell Jenkins
607625,"Lugo, Seth",T1_keyed,Seth Lugo
519242,"Sale, Chris",T1_keyed,Chris Sale
571476,,UNRESOLVED,MLBAM 571476
519168,Anthony Ranaudo,T2_des,Anthony Ranaudo
592454,Tommy Kahnle,T2_des,Tommy Kahnle
544930,,UNRESOLVED,MLBAM 544930
458006,Matt Albers,T2_des,Matt Albers
573668,,UNRESOLVED,MLBAM 573668
573589,,UNRESOLVED,MLBAM 573589
592169,Austin Brice,T2_des,Austin Brice
621295,Nick Wittgren,T2_des,Nick Wittgren
543017,Hunter Cervenka,T2_des,Hunter Cervenka
641771,Chad Kuhl,T2_des,Chad Kuhl
643230,Steven Brault,T2_des,Steven Brault
571800,"Hutchison, Drew",T1_keyed,Drew Hutchison
453281,Wade LeBlanc,T2_des,Wade LeBlanc
452061,,UNRESOLVED,MLBAM 452061
606983,Koda Glover,T2_des,Koda Glover
605222,,UNRESOLVED,MLBAM 605222
519437,Chris Withrow,T2_des,Chris Withrow
605152,,UNRESOLVED,MLBAM 605152
623406,Shae Simmons,T2_des,Shae Simmons
543359,Dan Jennings,T2_des,Dan Jennings
607074,Carlos Rodon,T2_des,Carlos Rodon
545363,Jacob Turner,T2_des,Jacob Turner
621199,Matt Bowman,T2_des,Matt Bowman
596133,"Weaver, Luke",T1_keyed,Luke Weaver
592815,,UNRESOLVED,MLBAM 592815
435043,Zach Duke,T2_des,Zach Duke
425794,Adam Wainwright,T2_des,Adam Wainwright
621052,Alex Reyes,T2_des,Alex Reyes
493200,Seunghwan Oh,T2_des,Seunghwan Oh
548389,Ross Stripling,T2_des,Ross Stripling
451661,Josh Fields,T2_des,Josh Fields
594795,Grant Dayton,T2_des,Grant Dayton
502272,"Fien, Casey",T1_keyed,Casey Fien
430599,Joe Blanton,T2_des,Joe Blanton
431148,Scott Kazmir,T2_des,Scott Kazmir
445926,Jesse Chavez,T2_des,Jesse Chavez
628317,Kenta Maeda,T2_des,Kenta Maeda
543022,"Chatwood, Tyler",T1_keyed,Tyler Chatwood
608032,"Estévez, Carlos",T1_keyed,Carlos Estévez
542881,Tyler Anderson,T2_des,Tyler Anderson
592351,Jon Gray,T2_des,Jon Gray
571539,,UNRESOLVED,MLBAM 571539
502051,Josh Ravin,T2_des,Josh Ravin
628711,Julio Urias,T2_des,Julio Urias
523848,Jose Dominguez,T2_des,Jose Dominguez
488748,,UNRESOLVED,MLBAM 488748
518560,Paul Clemens,T2_des,Paul Clemens
571473,,UNRESOLVED,MLBAM 571473
571882,,UNRESOLVED,MLBAM 571882
408241,Jake Peavy,T2_des,Jake Peavy
592791,"Taillon, Jameson",T1_keyed,Jameson Taillon
491703,"Feliz, Neftalí",T1_keyed,Neftalí Feliz
607192,"Glasnow, Tyler",T1_keyed,Tyler Glasnow
542674,Gonzalez Germen,T2_des,Gonzalez Germen
493603,Adam Ottavino,T2_des,Adam Ottavino
518716,Dillon Gee,T2_des,Dillon Gee
543169,Brian Flynn,T2_des,Brian Flynn
570649,Yordano Ventura,T2_des,Yordano Ventura
518633,Danny Duffy,T2_des,Danny Duffy
465657,Joakim Soria,T2_des,Joakim Soria
425426,,UNRESOLVED,MLBAM 425426
545332,,UNRESOLVED,MLBAM 545332
611093,Silvino Bracho,T2_des,Silvino Bracho
592662,"Ray, Robbie",T1_keyed,Robbie Ray
518715,,UNRESOLVED,MLBAM 518715
445060,Ricky Nolasco,T2_des,Ricky Nolasco
573124,Taylor Rogers,T2_des,Taylor Rogers
543859,Michael Tonkin,T2_des,Michael Tonkin
502043,"Gibson, Kyle",T1_keyed,Kyle Gibson
472551,Fernando Abad,T2_des,Fernando Abad
519151,Ryan Pressly,T2_des,Ryan Pressly
608648,Tyler Duffey,T2_des,Tyler Duffey
542953,,UNRESOLVED,MLBAM 542953
445213,"Kintzler, Brandon",T1_keyed,Brandon Kintzler
643327,Zack Godley,T2_des,Zack Godley
457918,J.  A,T2_des,J.  A
425856,,UNRESOLVED,MLBAM 425856
607352,,UNRESOLVED,MLBAM 607352
462136,Marco Estrada,T2_des,Marco Estrada
643325,,UNRESOLVED,MLBAM 643325
573186,"Stroman, Marcus",T1_keyed,Marcus Stroman
571901,"Loup, Aaron",T1_keyed,Aaron Loup
539438,,UNRESOLVED,MLBAM 539438
605452,"Ross, Joe",T1_keyed,Joe Ross
476589,Adam Warren,T2_des,Adam Warren
501697,Jhan Marinez,T2_des,Jhan Marinez
606930,Jacob Barnes,T2_des,Jacob Barnes
448855,Junior Guerra,T2_des,Junior Guerra
592804,Tyler Thornburg,T2_des,Tyler Thornburg
430641,Blaine Boyer,T2_des,Blaine Boyer
434671,Anibal Sanchez,T2_des,Anibal Sanchez
543935,Alex Wilson,T2_des,Alex Wilson
599683,Warwick Saupold,T2_des,Warwick Saupold
594986,Kyle Ryan,T2_des,Kyle Ryan
434378,"Verlander, Justin",T1_keyed,Justin Verlander
460059,Mike Pelfrey,T2_des,Mike Pelfrey
543391,Casey Kelly,T2_des,Casey Kelly
573185,Dan Straily,T2_des,Dan Straily
447755,,UNRESOLVED,MLBAM 447755
502457,,UNRESOLVED,MLBAM 502457
456027,,UNRESOLVED,MLBAM 456027
502028,Blake Wood,T2_des,Blake Wood
534947,Tim Adleman,T2_des,Tim Adleman
571584,Caleb Cotham,T2_des,Caleb Cotham
643550,Layne Somsen,T2_des,Layne Somsen
605232,,UNRESOLVED,MLBAM 605232
594760,,UNRESOLVED,MLBAM 594760
448802,Jaime Garcia,T2_des,Jaime Garcia
517593,,UNRESOLVED,MLBAM 517593
453249,Jeff Manship,T2_des,Jeff Manship
545333,Trevor Bauer,T2_des,Trevor Bauer
501955,,UNRESOLVED,MLBAM 501955
519096,Dan Otero,T2_des,Dan Otero
641490,,UNRESOLVED,MLBAM 641490
446372,Corey Kluber,T2_des,Corey Kluber
592102,,UNRESOLVED,MLBAM 592102
502083,,UNRESOLVED,MLBAM 502083
543766,Bryan Shaw,T2_des,Bryan Shaw
605200,Zach Davies,T2_des,Zach Davies
519141,Drew Pomeranz,T2_des,Drew Pomeranz
572362,Robbie Erlin,T2_des,Robbie Erlin
596112,Robert Stephenson,T2_des,Robert Stephenson
572102,,UNRESOLVED,MLBAM 572102
628452,Raisel Iglesias,T2_des,Raisel Iglesias
592527,"Mariot, Michael",T1_keyed,Michael Mariot
570257,"Rodríguez, Joely",T1_keyed,Joely Rodríguez
607309,"Klein, Phil",T1_keyed,Phil Klein
497807,"Herrmann, Frank",T1_keyed,Frank Herrmann
572119,"Schuster, Patrick",T1_keyed,Patrick Schuster
622097,"Thompson, Jake",T1_keyed,Jake Thompson
591693,"Ramos, Edubray",T1_keyed,Edubray Ramos
592826,"Velasquez, Vince",T1_keyed,Vince Velasquez
621107,"Eflin, Zach",T1_keyed,Zach Eflin
519085,"Oberholtzer, Brett",T1_keyed,Brett Oberholtzer
457732,"Bailey, Andrew",T1_keyed,Andrew Bailey
621385,"Stumpf, Daniel",T1_keyed,Daniel Stumpf
450203,"Morton, Charlie",T1_keyed,Charlie Morton
623167,Chris Flexen,T2_des,Chris Flexen
641850,,UNRESOLVED,MLBAM 641850
621094,,UNRESOLVED,MLBAM 621094
642008,,UNRESOLVED,MLBAM 642008
623149,Paul Sewald,T2_des,Paul Sewald
607473,,UNRESOLVED,MLBAM 607473
544836,,UNRESOLVED,MLBAM 544836
613534,,UNRESOLVED,MLBAM 613534
448281,Sean Doolittle,T2_des,Sean Doolittle
627894,Luiz Gohara,T2_des,Luiz Gohara
621345,"Minter, A.J.",T1_keyed,A.J. Minter
571521,Rex Brothers,T2_des,Rex Brothers
656794,Sean Newcomb,T2_des,Sean Newcomb
518693,Sam Freeman,T2_des,Sam Freeman
592426,Luke Jackson,T2_des,Luke Jackson
595465,Dan Winkler,T2_des,Dan Winkler
453344,,UNRESOLVED,MLBAM 453344
621111,"Buehler, Walker",T1_keyed,Walker Buehler
506433,Yu Darvish,T2_des,Yu Darvish
592779,"Stewart, Brock",T1_keyed,Brock Stewart
640455,Sean Manaea,T2_des,Sean Manaea
501822,Chris Hatcher,T2_des,Chris Hatcher
623430,,UNRESOLVED,MLBAM 623430
543056,,UNRESOLVED,MLBAM 543056
501563,,UNRESOLVED,MLBAM 501563
434672,Chris Smith,T2_des,Chris Smith
608665,Kendall Graveman,T2_des,Kendall Graveman
596043,Daniel Mengden,T2_des,Daniel Mengden
457915,Javy Guerra,T2_des,Javy Guerra
596071,Dillon Peters,T2_des,Dillon Peters
608716,Drew Steckenrider,T2_des,Drew Steckenrider
606424,Jarlin Garcia,T2_des,Jarlin Garcia
425492,,UNRESOLVED,MLBAM 425492
608371,Lucas Sims,T2_des,Lucas Sims
493157,,UNRESOLVED,MLBAM 493157
570240,Felix Pena,T2_des,Felix Pena
488846,Brian Duensing,T2_des,Brian Duensing
500779,Jose Quintana,T2_des,Jose Quintana
605195,Kyle Crick,T2_des,Kyle Crick
621389,Ty Blach,T2_des,Ty Blach
544150,,UNRESOLVED,MLBAM 544150
502188,Jeff Samardzija,T2_des,Jeff Samardzija
659275,Dinelson Lamet,T2_des,Dinelson Lamet
657681,,UNRESOLVED,MLBAM 657681
664208,Phil Maton,T2_des,Phil Maton
489446,"Yates, Kirby",T1_keyed,Kirby Yates
600526,,UNRESOLVED,MLBAM 600526
571927,Steven Matz,T2_des,Steven Matz
608331,Max Fried,T2_des,Max Fried
656546,"Hoffman, Jeff",T1_keyed,Jeff Hoffman
518813,Greg Holland,T2_des,Greg Holland
450212,"Neshek, Pat",T1_keyed,Pat Neshek
622608,"Senzatela, Antonio",T1_keyed,Antonio Senzatela
607536,Kyle Freeland,T2_des,Kyle Freeland
592170,,UNRESOLVED,MLBAM 592170
592135,"Bedrosian, Cam",T1_keyed,Cam Bedrosian
622161,,UNRESOLVED,MLBAM 622161
641871,,UNRESOLVED,MLBAM 641871
644428,,UNRESOLVED,MLBAM 644428
453284,"Parker, Blake",T1_keyed,Blake Parker
592422,,UNRESOLVED,MLBAM 592422
592570,,UNRESOLVED,MLBAM 592570
571666,Mike Fiers,T2_des,Mike Fiers
593140,,UNRESOLVED,MLBAM 593140
448609,Tony Sipp,T2_des,Tony Sipp
502381,Luke Gregerson,T2_des,Luke Gregerson
642564,Francis Martes,T2_des,Francis Martes
502748,Brad Peacock,T2_des,Brad Peacock
605397,Joe Musgrove,T2_des,Joe Musgrove
624586,James Hoyt,T2_des,James Hoyt
623352,Josh Hader,T2_des,Josh Hader
608718,Brent Suter,T2_des,Brent Suter
543118,Oliver Drake,T2_des,Oliver Drake
643778,Tyler Webb,T2_des,Tyler Webb
468504,"Chacín, Jhoulys",T1_keyed,Jhoulys Chacín
554430,"Wheeler, Zack",T1_keyed,Zack Wheeler
433587,Felix Hernandez,T2_des,Felix Hernandez
621242,"Díaz, Edwin",T1_keyed,Edwin Díaz
572021,,UNRESOLVED,MLBAM 572021
543883,"Vincent, Nick",T1_keyed,Nick Vincent
572020,James Paxton,T2_des,James Paxton
543964,,UNRESOLVED,MLBAM 543964
656186,,UNRESOLVED,MLBAM 656186
519008,T.  J,T2_des,T.  J
571578,Patrick Corbin,T2_des,Patrick Corbin
605154,John Brebbia,T2_des,John Brebbia
584171,Hector Velazquez,T2_des,Hector Velazquez
598271,Brian Johnson,T2_des,Brian Johnson
598264,Matt Barnes,T2_des,Matt Barnes
582494,Robby Scott,T2_des,Robby Scott
456034,"Price, David",T1_keyed,David Price
592390,"Hembree, Heath",T1_keyed,Heath Hembree
450172,Edinson Volquez,T2_des,Edinson Volquez
444857,Scott Feldman,T2_des,Scott Feldman
593974,Wandy Peralta,T2_des,Wandy Peralta
276520,Bronson Arroyo,T2_des,Bronson Arroyo
547179,"Lorenzen, Michael",T1_keyed,Michael Lorenzen
592879,,UNRESOLVED,MLBAM 592879
608566,German Marquez,T2_des,German Marquez
430589,,UNRESOLVED,MLBAM 430589
592866,"Williams, Trevor",T1_keyed,Trevor Williams
458676,,UNRESOLVED,MLBAM 458676
527048,Martin Perez,T2_des,Martin Perez
592222,Alex Claudio,T2_des,Alex Claudio
456713,Matt Bush,T2_des,Matt Bush
502212,,UNRESOLVED,MLBAM 502212
501817,,UNRESOLVED,MLBAM 501817
451596,Yovani Gallardo,T2_des,Yovani Gallardo
592614,,UNRESOLVED,MLBAM 592614
664641,Ariel Miranda,T2_des,Ariel Miranda
543557,Mike Montgomery,T2_des,Mike Montgomery
451584,Wade Davis,T2_des,Wade Davis
547943,Hyun-Jin Ryu,T2_des,Hyun-Jin Ryu
435221,Brandon McCarthy,T2_des,Brandon McCarthy
425386,Jeremy Guthrie,T2_des,Jeremy Guthrie
606959,,UNRESOLVED,MLBAM 606959
642003,,UNRESOLVED,MLBAM 642003
592120,,UNRESOLVED,MLBAM 592120
601713,"Pivetta, Nick",T1_keyed,Nick Pivetta
571948,"Milner, Hoby",T1_keyed,Hoby Milner
605441,"Ríos, Yacksel",T1_keyed,Yacksel Ríos
644364,"Arano, Víctor",T1_keyed,Víctor Arano
506693,"Alvarez III, Henderson",T1_keyed,Henderson Alvarez III
657205,"Curtis, Zac",T1_keyed,Zac Curtis
594902,"Lively, Ben",T1_keyed,Ben Lively
643410,"Leiter Jr., Mark",T1_keyed,Mark Leiter Jr.
620982,"Pinto, Ricardo",T1_keyed,Ricardo Pinto
592279,"Therrien, Jesen",T1_keyed,Jesen Therrien
623454,"Anderson, Drew",T1_keyed,Drew Anderson
474039,"Beato, Pedro",T1_keyed,Pedro Beato
433217,"Blanco, Andrés",T1_keyed,Andrés Blanco
592332,Kevin Gausman,T2_des,Kevin Gausman
458924,Jonny Venters,T2_des,Jonny Venters
657053,Touki Toussaint,T2_des,Touki Toussaint
656977,Chad Sobotka,T2_des,Chad Sobotka
592145,,UNRESOLVED,MLBAM 592145
622075,Yency Almonte,T2_des,Yency Almonte
597113,DJ Johnson,T2_des,DJ Johnson
643466,,UNRESOLVED,MLBAM 643466
641438,Shane Carle,T2_des,Shane Carle
623402,Tim Peterson,T2_des,Tim Peterson
641341,,UNRESOLVED,MLBAM 641341
622098,Drew Smith,T2_des,Drew Smith
461872,,UNRESOLVED,MLBAM 461872
623354,,UNRESOLVED,MLBAM 623354
641755,Tyler Kinley,T2_des,Tyler Kinley
605255,Brett Graves,T2_des,Brett Graves
607968,,UNRESOLVED,MLBAM 607968
594027,Tayron Guerrero,T2_des,Tayron Guerrero
592407,,UNRESOLVED,MLBAM 592407
593833,Wander Suero,T2_des,Wander Suero
607200,Erick Fedde,T2_des,Erick Fedde
502522,Justin Miller,T2_des,Justin Miller
525768,Tim Collins,T2_des,Tim Collins
657117,Austen Williams,T2_des,Austen Williams
641851,,UNRESOLVED,MLBAM 641851
622772,,UNRESOLVED,MLBAM 622772
621261,Corey Oswalt,T2_des,Corey Oswalt
543193,Drew Gagnon,T2_des,Drew Gagnon
621098,,UNRESOLVED,MLBAM 621098
645261,"Alcantara, Sandy",T1_keyed,Sandy Alcantara
670950,"Richards, Trevor",T1_keyed,Trevor Richards
656738,,UNRESOLVED,MLBAM 656738
600968,Randy Rosario,T2_des,Randy Rosario
596101,,UNRESOLVED,MLBAM 596101
502593,,UNRESOLVED,MLBAM 502593
641835,"Mayza, Tim",T1_keyed,Tim Mayza
621366,Ryan Borucki,T2_des,Ryan Borucki
516969,Kelvin Herrera,T2_des,Kelvin Herrera
450306,"Vargas, Jason",T1_keyed,Jason Vargas
592833,,UNRESOLVED,MLBAM 592833
543135,Nathan Eovaldi,T2_des,Nathan Eovaldi
664192,Joey Lucchesi,T2_des,Joey Lucchesi
620454,José Castillo,T2_des,José Castillo
628318,Kazuhisa Makita,T2_des,Kazuhisa Makita
621141,Walker Lockett,T2_des,Walker Lockett
476594,Robert Stock,T2_des,Robert Stock
