game_year,pitcher,name,is_cohort,on_phi_2026,phi_season,frame,coverage,role,med_pitches_per_outing,games,n,swings,pa_end,usage,thin,pop_member,velo,ivb_in,spin,ext,hb_in,whiff_rate,rv100,xwoba,velo_final,ivb_in_final,spin_final,whiff_rate_final,rv100_final,g_velo,g_ivb_in,g_spin,g_whiff_rate,g_rv100,z_velo,z_ivb_in,z_spin,z_whiff_rate,z_rv100,shape_grade,results_grade,shape_score,results_score,ff_elite_shape_flag,ff_elite_results_flag,ff_elite_archetype_flag,ff_elite_composite,efc_score,archetype_tier
2023,641360,Phil Bickford,False,False,False,VS_PHI,PARTIAL,RP,18.5,14,86,40,11,0.6719,True,False,93.8558,16.5251,2347.7791,6.8535,-6.3014,0.325,1.2721,0.3526,94.3471,16.5251,2372.5497,0.26,-0.2109,45.0,55.0,55.0,60.0,50.0,-0.5127,0.3957,0.3573,0.8804,0.1453,50.0,55.0,50.801,55.1287,False,False,False,55.0,52.9649,NOT ELITE
2023,641154,Pablo Lopez,False,False,False,VS_PHI,PARTIAL,SP,92.0,7,58,27,8,0.3718,True,False,95.1052,14.491,2268.6379,7.1328,-4.5807,0.4074,4.0362,0.3502,95.5964,14.491,2293.4086,0.2766,-0.1069,50.0,45.0,50.0,60.0,55.0,0.0831,-0.5248,-0.2272,1.2114,0.4115,50.0,60.0,47.7701,58.1144,False,True,False,55.0,52.9423,RESULTS-ONLY
2021,593576,Hector Neris,False,False,True,PHI,COMPLETE,RP,14.0,72,458,232,54,0.3685,False,True,94.1485,15.9899,2349.1943,6.2079,-9.5243,0.3233,-1.21,0.4336,94.9672,15.9899,2390.4787,0.3019,-0.5905,50.0,50.0,55.0,65.0,40.0,-0.217,0.1535,0.4898,1.7167,-0.8255,50.0,55.0,51.4209,54.4562,False,False,False,55.0,52.9385,NOT ELITE
2020,593576,Hector Neris,False,False,True,PHI,COMPLETE,RP,15.5,24,170,79,27,0.4261,False,True,93.8424,15.7595,2352.5,6.1494,-10.1167,0.3038,-0.06,0.3366,94.8249,15.7595,2402.0413,0.2663,-0.2922,45.0,50.0,55.0,60.0,50.0,-0.2849,0.0492,0.5752,1.0075,-0.0625,50.0,55.0,51.1318,54.7247,False,False,False,55.0,52.9283,NOT ELITE
2025,489446,Kirby Yates,False,False,False,TEAM,COMPLETE,RP,14.5,49,440,241,96,0.5774,False,True,92.7541,13.7858,2328.4509,6.0814,-13.5415,0.3527,0.2052,0.3323,92.9178,13.7858,2336.7078,0.3264,-0.1745,40.0,40.0,50.0,70.0,50.0,-1.1943,-0.8439,0.0926,2.2054,0.2386,45.0,60.0,43.5146,62.2202,False,True,False,55.0,52.8674,RESULTS-ONLY
2019,656302,Dylan Cease,False,False,False,INCIDENTAL,PARTIAL,UNK,,6,58,28,10,0.5979,True,False,96.8362,14.4579,2474.569,5.8759,-1.3614,0.2143,-1.4,0.3399,97.9825,14.4579,2532.3672,0.2138,-0.3831,60.0,45.0,65.0,50.0,45.0,1.2209,-0.5398,1.5378,-0.0394,-0.2949,55.0,50.0,57.3965,48.3281,False,False,False,55.0,52.8623,NOT ELITE
2021,605513,Spencer Turnbull,False,False,False,FILE,COMPLETE,SP,86.0,9,299,167,48,0.3858,False,True,93.8237,12.3488,2496.9967,6.3164,-2.4594,0.2455,1.5799,0.2959,94.6425,12.3488,2538.2811,0.2375,0.0841,45.0,35.0,65.0,55.0,60.0,-0.3718,-1.4942,1.5815,0.4322,0.9,50.0,60.0,49.0514,56.6607,False,True,False,55.0,52.856,RESULTS-ONLY
2020,554340,Yimi Garcia,False,False,False,VS_PHI,PARTIAL,RP,22.0,6,64,31,8,0.5664,True,False,94.6062,12.765,2544.2031,6.0047,-7.5713,0.2903,1.6219,0.5048,95.5888,12.765,2593.7444,0.2409,-0.2199,50.0,35.0,70.0,55.0,50.0,0.0794,-1.3059,1.9912,0.5004,0.1225,50.0,55.0,52.549,53.1145,False,False,False,55.0,52.8318,NOT ELITE
2018,607457,Kyle Barraclough,False,False,False,VS_PHI,PARTIAL,RP,23.5,14,83,33,10,0.5123,True,False,93.6855,16.5354,2440.4578,6.1265,-4.8549,0.2424,0.1422,0.3468,94.9956,16.5354,2506.5129,0.2243,-0.2952,50.0,55.0,65.0,50.0,50.0,-0.2035,0.4004,1.3468,0.1688,-0.07,55.0,50.0,55.1458,50.494,False,False,False,55.0,52.8199,NOT ELITE
2019,450203,Charlie Morton,False,False,False,FILE,COMPLETE,SP,95.0,33,936,474,114,0.2982,False,True,94.7168,12.7231,2258.6346,5.9629,-13.589,0.289,0.3099,0.4159,95.863,12.7231,2316.4328,0.281,-0.0327,50.0,35.0,50.0,65.0,55.0,0.2102,-1.3249,-0.0572,1.3006,0.6013,45.0,60.0,46.0939,59.5093,False,True,False,55.0,52.8016,RESULTS-ONLY
2019,607625,Seth Lugo,False,False,False,VS_PHI,PARTIAL,RP,21.0,13,67,30,9,0.335,True,False,94.5776,17.0257,2230.2239,6.1493,-8.1797,0.2667,3.7493,0.3824,95.7239,17.0257,2288.0221,0.2321,-0.0912,50.0,55.0,45.0,55.0,55.0,0.1438,0.6222,-0.267,0.3246,0.4516,50.0,55.0,51.6634,53.8814,False,False,False,55.0,52.7724,NOT ELITE
2023,664299,Cristian Javier,False,False,False,INCIDENTAL,PARTIAL,SP,97.0,9,116,67,22,0.5771,False,True,92.6698,18.9848,2239.8879,6.0491,-6.0931,0.2687,2.5293,0.351,93.1611,18.9848,2264.6586,0.2436,-0.0523,40.0,65.0,45.0,55.0,55.0,-1.0783,1.5088,-0.4396,0.5534,0.5511,50.0,55.0,49.9697,55.5227,False,False,False,55.0,52.7462,NOT ELITE
2022,614179,José Ruiz,False,False,False,FILE,COMPLETE,RP,16.0,63,529,252,114,0.4744,False,True,96.8841,17.1271,2353.6257,5.8938,-7.0544,0.2421,-1.0372,0.4088,97.5391,17.1271,2386.6532,0.2369,-0.5611,60.0,55.0,55.0,55.0,40.0,1.0095,0.6681,0.4615,0.4201,-0.7503,55.0,50.0,57.1304,48.3492,False,False,False,55.0,52.7398,NOT ELITE
2023,453286,Max Scherzer,False,False,False,VS_PHI,PARTIAL,SP,104.0,7,131,63,17,0.4781,False,True,93.8519,15.6073,2366.4198,6.3962,-11.8031,0.3492,-0.7389,0.3907,94.3432,15.6073,2391.1905,0.2853,-0.3729,45.0,50.0,55.0,65.0,45.0,-0.5146,-0.0196,0.495,1.386,-0.2689,50.0,55.0,49.8693,55.5857,False,False,False,55.0,52.7275,NOT ELITE
2018,623454,Drew Anderson,False,False,True,PHI,COMPLETE,RP,37.0,5,95,44,11,0.4299,True,False,93.0116,17.4417,2309.4842,6.0747,-5.5301,0.2727,1.2558,0.4385,94.3216,17.4417,2375.5393,0.2396,-0.2009,45.0,60.0,55.0,55.0,50.0,-0.5249,0.8105,0.3794,0.4742,0.1709,55.0,55.0,52.2167,53.2254,False,False,False,55.0,52.7211,NOT ELITE
2019,608717,Chris Stratton,False,False,False,VS_PHI,PARTIAL,RP,41.0,11,85,36,17,0.6343,True,False,93.4235,15.7214,2514.0941,6.5047,-6.0311,0.1944,2.1788,0.3194,94.5698,15.7214,2571.8923,0.2061,-0.1463,45.0,50.0,70.0,50.0,55.0,-0.4065,0.032,1.8298,-0.1933,0.3108,55.0,55.0,54.8508,50.5876,False,False,False,55.0,52.7192,NOT ELITE
2021,592773,Ryne Stanek,False,False,False,INCIDENTAL,PARTIAL,UNK,,16,55,30,12,0.6471,True,False,97.2145,16.4204,2278.1852,5.9964,-10.2196,0.2667,-1.3455,0.4734,98.0333,16.4204,2319.4696,0.2321,-0.3778,60.0,55.0,50.0,55.0,45.0,1.2452,0.3483,-0.0347,0.3246,-0.2814,55.0,50.0,55.1957,50.2164,False,False,False,55.0,52.7061,NOT ELITE
2018,601713,Nick Pivetta,False,False,True,PHI,COMPLETE,SP,91.0,33,1411,701,184,0.4958,False,True,94.7847,17.2166,2268.0369,6.6246,-8.8741,0.2382,-0.2665,0.3992,96.0948,17.2166,2334.092,0.2364,-0.2935,55.0,55.0,50.0,55.0,50.0,0.3207,0.7086,0.0733,0.4106,-0.0659,55.0,55.0,53.6753,51.7237,False,False,False,55.0,52.6995,NOT ELITE
2026,668873,Caleb Kilian,False,True,False,FILE,COMPLETE,RP,17.0,49,392,194,86,0.4937,False,True,96.8033,15.6986,2380.2015,6.6514,-1.8484,0.1907,0.9985,0.2892,96.8033,15.6986,2380.2015,0.1959,0.0239,55.0,50.0,55.0,45.0,55.0,0.6586,0.0217,0.4138,-0.3978,0.746,55.0,50.0,53.647,51.741,False,False,False,55.0,52.694,NOT ELITE
2022,592791,Jameson Taillon,False,False,False,FILE,COMPLETE,SP,92.0,32,996,487,238,0.3551,False,True,94.0855,17.7482,2371.3675,6.6312,-5.7601,0.2259,-0.1325,0.3534,94.7406,17.7482,2404.395,0.2246,-0.2347,45.0,60.0,55.0,50.0,50.0,-0.3251,0.9492,0.5925,0.1754,0.0845,55.0,50.0,54.0555,51.2994,False,False,False,55.0,52.6775,NOT ELITE
2021,608717,Chris Stratton,False,False,False,INCIDENTAL,PARTIAL,RP,16.5,18,63,39,11,0.5164,True,False,93.0302,15.6114,2607.4444,6.5413,-4.979,0.2308,-0.0397,0.6259,93.8489,15.6114,2648.7289,0.2206,-0.3128,40.0,50.0,75.0,50.0,50.0,-0.7503,-0.0178,2.3973,0.0964,-0.1151,55.0,50.0,55.4309,49.9063,False,False,False,55.0,52.6686,NOT ELITE
2021,641816,Tyler Mahle,False,False,False,INCIDENTAL,PARTIAL,SP,108.0,10,122,57,17,0.4841,False,True,93.4959,17.4177,2259.582,6.6459,-11.7256,0.2456,2.9525,0.3275,94.3147,17.4177,2300.8664,0.2297,0.0034,45.0,60.0,50.0,55.0,55.0,-0.5282,0.7996,-0.1722,0.2777,0.6935,50.0,55.0,50.331,54.8559,False,False,False,55.0,52.5935,NOT ELITE
2020,672578,Carlos Hernández,False,False,False,FILE,COMPLETE,RP,47.0,5,130,63,34,0.5098,False,True,96.1292,16.6615,2372.4923,6.96,-9.5252,0.2222,-1.0331,0.4389,97.1117,16.6615,2422.0336,0.2182,-0.4041,60.0,55.0,55.0,50.0,45.0,0.8057,0.4574,0.7228,0.0469,-0.3487,55.0,50.0,56.6199,48.491,False,False,False,55.0,52.5554,NOT ELITE
2021,641401,Connor Brogdon,False,False,True,PHI,COMPLETE,RP,14.0,55,414,211,61,0.4485,False,True,96.0048,16.6571,2287.8357,6.9937,-10.3658,0.2607,-0.7519,0.4019,96.8236,16.6571,2329.1202,0.2508,-0.4457,55.0,55.0,50.0,55.0,45.0,0.6683,0.4554,0.0365,0.6972,-0.455,55.0,50.0,53.8675,51.2108,False,False,False,55.0,52.5391,NOT ELITE
2025,682243,Bryce Miller,False,False,False,INCIDENTAL,PARTIAL,SP,85.0,5,74,42,15,0.3936,True,False,95.2932,18.8027,2528.5946,6.2851,-7.0573,0.2619,-7.7176,0.5778,95.457,18.8027,2536.8515,0.2343,-0.801,50.0,65.0,65.0,55.0,35.0,0.0166,1.4264,1.5709,0.3683,-1.3638,60.0,45.0,60.0463,45.0223,True,False,False,55.0,52.5343,SHAPE-ONLY
2019,592426,Luke Jackson,False,False,False,VS_PHI,PARTIAL,RP,15.0,14,64,27,10,0.4238,True,False,95.9516,17.3756,2296.8438,6.5969,-8.0419,0.2593,-2.3547,0.5436,97.0978,17.3756,2354.6419,0.2284,-0.4416,60.0,60.0,50.0,55.0,45.0,0.799,0.7806,0.225,0.2518,-0.4447,55.0,50.0,56.0156,49.0353,False,False,False,55.0,52.5254,NOT ELITE
2020,518886,Craig Kimbrel,False,False,False,FILE,COMPLETE,RP,16.5,18,187,82,20,0.6233,False,True,96.8957,14.1722,2262.3871,6.6128,-10.7012,0.3049,-0.7278,0.504,97.8782,14.1722,2311.9284,0.2678,-0.3874,60.0,45.0,50.0,60.0,45.0,1.1712,-0.6691,-0.0905,1.0365,-0.306,50.0,55.0,51.3723,53.6526,False,False,False,55.0,52.5124,NOT ELITE
2018,622098,Drew Smith,False,False,False,VS_PHI,PARTIAL,RP,18.5,10,71,45,16,0.5868,True,False,96.1706,16.68,2307.6029,5.9015,-6.5471,0.2,0.4,0.3941,97.4806,16.68,2373.658,0.2075,-0.2838,60.0,55.0,55.0,50.0,50.0,0.9816,0.4658,0.3655,-0.1647,-0.0411,55.0,50.0,56.043,48.971,False,False,False,55.0,52.507,NOT ELITE
2023,622491,Luis Castillo,False,False,False,INCIDENTAL,PARTIAL,UNK,,10,57,27,13,0.5044,True,False,96.8333,13.5874,2284.6071,5.6368,-11.6989,0.3704,1.7596,0.3055,97.3246,13.5874,2309.3778,0.2645,-0.2243,60.0,40.0,50.0,60.0,50.0,0.9072,-0.9337,-0.1093,0.9715,0.1112,50.0,55.0,49.5472,55.4135,False,False,False,55.0,52.4804,NOT ELITE
2019,614179,José Ruiz,False,False,False,FILE,COMPLETE,RP,20.0,40,464,240,109,0.6162,False,True,96.3668,17.9206,2348.6487,5.8631,-4.9653,0.225,-1.3069,0.3958,97.5131,17.9206,2406.4469,0.2228,-0.6219,60.0,60.0,55.0,50.0,40.0,0.9971,1.0272,0.6077,0.1402,-0.9059,60.0,45.0,58.7733,46.1714,True,False,False,55.0,52.4723,SHAPE-ONLY
2021,593334,Domingo German,False,False,False,VS_PHI,PARTIAL,SP,76.0,8,73,27,12,0.2744,True,False,93.1014,15.9616,2499.2603,6.0274,-9.0559,0.3333,-2.0041,0.4308,93.9201,15.9616,2540.5447,0.2525,-0.4344,45.0,50.0,65.0,55.0,45.0,-0.7163,0.1407,1.5982,0.7316,-0.4262,55.0,50.0,53.4087,51.5269,False,False,False,55.0,52.4678,NOT ELITE
2020,641816,Tyler Mahle,False,False,False,INCIDENTAL,PARTIAL,UNK,,7,56,25,7,0.6437,True,False,94.3286,17.2457,2387.0357,6.6071,-12.3214,0.28,-2.2571,0.5174,95.3111,17.2457,2436.577,0.2341,-0.4234,50.0,55.0,60.0,55.0,45.0,-0.053,0.7218,0.8303,0.3641,-0.3981,55.0,50.0,54.9968,49.8299,False,False,False,55.0,52.4134,NOT ELITE
2019,518876,Merrill Kelly,False,False,False,FILE,COMPLETE,SP,94.0,32,1106,465,254,0.3734,False,True,91.9573,15.2972,2411.2414,6.2023,-4.6519,0.2043,0.7954,0.3563,93.1036,15.2972,2469.0396,0.2053,0.2391,40.0,50.0,60.0,50.0,65.0,-1.1057,-0.16,1.07,-0.2095,1.2965,50.0,60.0,49.3479,55.4351,False,True,False,55.0,52.3915,RESULTS-ONLY
2018,642152,Lou Trivino,False,True,False,FILE,COMPLETE,RP,15.0,67,368,196,108,0.3274,False,True,97.4106,14.5529,2148.3668,6.2557,-8.3632,0.2398,0.5478,0.3843,98.7206,14.5529,2214.4219,0.234,-0.1065,65.0,45.0,40.0,55.0,55.0,1.5729,-0.4968,-0.8107,0.362,0.4126,50.0,55.0,50.8849,53.873,False,False,False,55.0,52.379,NOT ELITE
2020,675921,Spencer Howard,False,False,True,PHI,COMPLETE,SP,68.0,6,248,112,39,0.5649,False,True,94.0427,17.9323,2344.8911,6.5573,-9.8637,0.1875,0.8831,0.3649,95.0253,17.9323,2394.4324,0.1962,-0.103,50.0,60.0,55.0,45.0,55.0,-0.1893,1.0325,0.519,-0.3907,0.4215,55.0,50.0,54.5404,50.1539,False,False,False,55.0,52.3472,NOT ELITE
2019,656257,MLBAM 656257,False,False,False,VS_PHI,PARTIAL,RP,21.5,8,78,46,14,0.5455,True,False,96.3769,17.1785,2410.2308,5.7218,-12.0108,0.1522,-1.2269,0.4984,97.5232,17.1785,2468.029,0.1859,-0.389,60.0,55.0,60.0,45.0,45.0,1.0019,0.6914,1.0626,-0.5957,-0.31,60.0,45.0,59.1861,45.4714,True,False,False,55.0,52.3287,SHAPE-ONLY
2018,642528,Jonathan Loaisiga,False,False,False,VS_PHI,PARTIAL,SP,86.0,3,62,29,7,0.5849,True,False,95.8081,16.1632,2336.0645,6.1371,-5.8084,0.2069,0.3823,0.3076,97.1181,16.1632,2402.1196,0.2113,-0.2902,60.0,50.0,55.0,50.0,50.0,0.8087,0.2319,0.5757,-0.0895,-0.0573,55.0,50.0,55.3879,49.2658,False,False,False,55.0,52.3269,NOT ELITE
2024,622554,Seranthony Domínguez,True,False,True,PHI,COMPLETE,RP,16.0,39,263,116,55,0.4003,False,True,97.4817,14.1846,2386.229,6.5401,-4.5308,0.2069,0.7034,0.2974,97.8093,14.1846,2402.7428,0.2091,-0.1271,60.0,45.0,55.0,50.0,55.0,1.1383,-0.6634,0.5803,-0.1341,0.3598,55.0,55.0,53.5174,51.1287,False,False,False,55.0,52.3231,NOT ELITE
2022,668678,Zac Gallen,False,False,False,VS_PHI,PARTIAL,SP,77.0,8,105,36,12,0.4545,False,True,94.2095,18.1509,2442.4667,6.6324,-2.96,0.1944,-0.5276,0.4232,94.8645,18.1509,2475.4942,0.2061,-0.3462,45.0,60.0,60.0,50.0,50.0,-0.266,1.1314,1.1177,-0.1933,-0.2007,55.0,50.0,56.6106,48.0303,False,False,False,55.0,52.3204,NOT ELITE
2025,672578,Carlos Hernández,False,False,True,PHI,COMPLETE,RP,16.0,27,243,132,68,0.5436,False,True,97.8457,17.72,2422.9177,6.9123,-8.5491,0.1515,-0.3255,0.3886,98.0094,17.72,2431.1746,0.17,-0.3281,60.0,60.0,60.0,40.0,50.0,1.2338,0.9364,0.7904,-0.9126,-0.1543,60.0,45.0,59.8685,44.6657,True,False,False,55.0,52.2671,SHAPE-ONLY
2020,656302,Dylan Cease,False,False,False,INCIDENTAL,PARTIAL,UNK,,9,65,30,15,0.4483,True,False,97.6492,15.7717,2546.2,5.9231,-3.9637,0.0667,-2.2077,0.4138,98.6317,15.7717,2595.7413,0.1624,-0.435,65.0,50.0,70.0,40.0,45.0,1.5305,0.0548,2.0059,-1.0646,-0.4277,60.0,45.0,61.9707,42.5383,True,False,False,55.0,52.2545,SHAPE-ONLY
2023,596133,Luke Weaver,False,False,False,INCIDENTAL,PARTIAL,UNK,,8,63,39,13,0.4065,True,False,94.0635,16.3829,2417.7143,5.9095,-7.7371,0.2564,1.2603,0.2525,94.5547,16.3829,2442.4849,0.2312,-0.2413,45.0,55.0,60.0,55.0,50.0,-0.4137,0.3313,0.8739,0.306,0.0676,55.0,55.0,52.6385,51.868,False,False,False,55.0,52.2532,NOT ELITE
2022,593423,Frankie Montas,False,False,False,INCIDENTAL,PARTIAL,SP,92.0,10,56,35,13,0.2772,True,False,96.3339,16.8193,2358.9464,5.9786,-5.7964,0.2,-0.2196,0.3355,96.9889,16.8193,2391.974,0.2084,-0.3233,55.0,55.0,55.0,50.0,50.0,0.7471,0.5288,0.5008,-0.1482,-0.142,55.0,50.0,55.9225,48.5491,False,False,False,55.0,52.2358,NOT ELITE
2018,542882,Matt Andriese,False,False,False,VS_PHI,PARTIAL,RP,19.0,13,64,30,8,0.5079,True,False,92.0328,17.4112,2350.4219,5.6938,-7.2844,0.3333,-0.7734,0.442,93.3428,17.4112,2416.4769,0.2553,-0.3535,40.0,60.0,55.0,60.0,50.0,-0.9916,0.7967,0.6818,0.7877,-0.2192,50.0,55.0,51.6229,52.8428,False,False,False,55.0,52.2329,NOT ELITE
2021,592390,Heath Hembree,False,False,False,VS_PHI,PARTIAL,RP,23.0,9,52,28,9,0.4262,True,False,95.4462,17.82,2426.7115,6.6346,-9.2792,0.1429,-1.0462,0.3883,96.2649,17.82,2467.996,0.1901,-0.3615,55.0,60.0,60.0,45.0,50.0,0.4019,0.9817,1.0623,-0.5135,-0.2398,60.0,50.0,58.1529,46.2335,True,False,False,55.0,52.1932,SHAPE-ONLY
2023,642547,Freddy Peralta,False,False,False,INCIDENTAL,PARTIAL,SP,94.0,8,109,52,14,0.4977,False,True,94.1651,15.4987,2430.4037,6.8725,-6.2246,0.2692,0.467,0.3358,94.6564,15.4987,2455.1743,0.2404,-0.2559,45.0,50.0,60.0,55.0,50.0,-0.3652,-0.0688,0.9676,0.4895,0.0303,50.0,55.0,51.7788,52.5989,False,False,False,55.0,52.1888,NOT ELITE
2022,544727,Jeurys Familia,False,False,True,PHI,COMPLETE,RP,16.5,36,140,62,20,0.2208,False,True,95.5943,13.4383,2295.75,5.81,-9.6883,0.3065,1.2114,0.4078,96.2493,13.4383,2328.7775,0.2623,-0.1524,55.0,40.0,50.0,60.0,55.0,0.3944,-1.0012,0.034,0.9278,0.295,50.0,60.0,48.0907,56.1138,False,True,False,55.0,52.1023,RESULTS-ONLY
2018,571704,Ken Giles,False,False,False,FILE,COMPLETE,RP,13.0,54,449,243,104,0.5794,False,True,97.2775,17.1974,2372.7149,5.4675,-9.5965,0.1687,-0.6895,0.3594,98.5875,17.1974,2438.77,0.1771,-0.4344,65.0,55.0,60.0,40.0,45.0,1.5094,0.6999,0.8465,-0.7709,-0.4261,60.0,45.0,60.1862,44.0149,True,False,False,55.0,52.1005,SHAPE-ONLY
2018,592836,Taijuan Walker,False,True,False,FILE,COMPLETE,SP,85.0,3,146,49,18,0.6518,False,True,93.861,17.5948,2191.8562,6.2863,-8.5907,0.2449,1.5281,0.3646,95.171,17.5948,2257.9112,0.2282,-0.1082,50.0,60.0,45.0,50.0,55.0,-0.1198,0.8798,-0.4894,0.2469,0.4082,50.0,55.0,50.9017,53.2754,False,False,False,55.0,52.0885,NOT ELITE
2021,608723,Austin Voth,False,False,False,VS_PHI,PARTIAL,RP,21.5,13,96,49,10,0.5714,True,False,94.5438,17.31,2350.9375,6.2375,-5.1625,0.2449,-0.7146,0.452,95.3625,17.31,2392.2219,0.2282,-0.3601,50.0,60.0,55.0,50.0,50.0,-0.0285,0.7509,0.5026,0.2469,-0.2361,55.0,50.0,54.0835,50.0543,False,False,False,55.0,52.0689,NOT ELITE
2023,669923,George Kirby,False,False,False,VS_PHI,PARTIAL,SP,89.0,8,78,52,20,0.4105,True,False,95.5821,15.4615,2244.3077,6.4308,-7.8092,0.2885,2.1705,0.2762,96.0733,15.4615,2269.0783,0.2496,-0.1608,55.0,50.0,45.0,55.0,55.0,0.3105,-0.0856,-0.407,0.6739,0.2735,50.0,55.0,49.3931,54.7372,False,False,False,55.0,52.0651,NOT ELITE
2021,592826,Vince Velasquez,False,False,True,PHI,COMPLETE,SP,80.0,23,781,364,102,0.5068,False,True,93.1599,18.3156,2358.6504,6.5849,-3.7103,0.25,-0.6301,0.3979,93.9787,18.3156,2399.9349,0.2451,-0.4549,45.0,60.0,55.0,55.0,45.0,-0.6884,1.206,0.5596,0.5847,-0.4787,55.0,50.0,53.5906,50.5303,False,False,False,55.0,52.0604,NOT ELITE
2022,571945,Miles Mikolas,False,False,False,FILE,COMPLETE,SP,98.0,33,855,482,210,0.2713,False,True,93.5204,14.9816,2291.2435,6.4076,-4.9029,0.2178,1.0396,0.2891,94.1754,14.9816,2324.2711,0.2174,0.2748,45.0,45.0,50.0,50.0,65.0,-0.5946,-0.3028,0.0007,0.0317,1.3878,45.0,60.0,47.0111,57.0976,False,True,False,55.0,52.0544,RESULTS-ONLY
2024,681293,Spencer Arrighetti,False,False,False,VS_PHI,PARTIAL,SP,103.0,5,63,33,15,0.4118,True,False,94.2889,14.0857,2295.9841,7.1032,-12.7829,0.3939,3.027,0.2137,94.6164,14.0857,2312.4979,0.2804,-0.1443,45.0,45.0,50.0,65.0,55.0,-0.3843,-0.7082,-0.0862,1.2876,0.3159,45.0,60.0,46.0709,58.0173,False,True,False,55.0,52.0441,RESULTS-ONLY
2021,543135,Nathan Eovaldi,False,False,False,INCIDENTAL,PARTIAL,SP,85.0,12,114,65,29,0.4453,False,True,96.9289,14.6179,2123.5263,6.6956,-12.4989,0.2769,2.5123,0.2342,97.7477,14.6179,2164.8107,0.2476,-0.0582,60.0,45.0,40.0,55.0,55.0,1.109,-0.4674,-1.1771,0.6336,0.536,50.0,55.0,48.2148,55.8478,False,False,False,55.0,52.0313,NOT ELITE
2019,605182,Mike Clevinger,False,False,False,INCIDENTAL,PARTIAL,UNK,,9,75,34,17,0.5245,True,False,95.4867,17.4208,2353.0133,6.736,-5.4144,0.1176,1.948,0.3012,96.6329,17.4208,2410.8115,0.1774,-0.1813,55.0,60.0,55.0,40.0,50.0,0.5774,0.801,0.6399,-0.7658,0.2212,55.0,45.0,56.7278,47.2769,False,False,False,50.0,52.0023,NOT ELITE
2022,607179,Jordan Weems,False,False,False,VS_PHI,PARTIAL,RP,22.0,10,132,75,18,0.6168,False,True,96.6326,18.7355,2133.6288,6.5417,-6.6482,0.2267,0.0182,0.371,97.2876,18.7355,2166.6563,0.2211,-0.291,60.0,65.0,40.0,50.0,50.0,0.8895,1.396,-1.1635,0.105,-0.0594,55.0,50.0,53.74,50.2281,False,False,False,55.0,51.9841,NOT ELITE
2025,686751,Seth Johnson,False,True,True,PHI,COMPLETE,RP,20.0,10,110,55,23,0.514,False,True,97.1745,17.148,2342.8273,6.3545,-8.1425,0.2,-0.6191,0.3274,97.3383,17.148,2351.0842,0.2069,-0.3554,60.0,55.0,50.0,50.0,50.0,0.9137,0.6776,0.1988,-0.1782,-0.2242,55.0,50.0,55.9669,47.988,False,False,False,55.0,51.9774,NOT ELITE
2025,701542,Will Warren,False,False,False,VS_PHI,PARTIAL,SP,89.0,4,66,27,18,0.3976,True,False,93.7576,15.1309,2591.9091,6.7924,-8.0018,0.3333,-3.8424,0.4673,93.9213,15.1309,2600.166,0.2525,-0.5304,45.0,50.0,70.0,55.0,45.0,-0.7157,-0.2352,2.0386,0.7316,-0.6717,55.0,50.0,53.6254,50.2994,False,False,False,55.0,51.9624,NOT ELITE
2025,688158,David Morgan,False,False,False,INCIDENTAL,PARTIAL,RP,26.0,8,72,34,19,0.4138,True,False,97.6764,15.7433,2427.875,5.9917,-7.5183,0.1471,0.4958,0.3687,97.8401,15.7433,2436.1319,0.1885,-0.2773,60.0,50.0,60.0,45.0,50.0,1.153,0.0419,0.827,-0.5446,-0.0243,55.0,50.0,56.7398,47.1554,False,False,False,55.0,51.9476,NOT ELITE
2019,521655,Wilmer Font,False,False,False,VS_PHI,PARTIAL,RP,34.0,11,57,33,14,0.4419,True,False,95.1667,17.4421,2412.5965,6.6667,-5.4358,0.1515,-1.2368,0.5566,96.3129,17.4421,2470.3947,0.1906,-0.374,55.0,60.0,60.0,45.0,45.0,0.4248,0.8107,1.0801,-0.5024,-0.2718,60.0,45.0,57.7183,46.1289,True,False,False,55.0,51.9236,SHAPE-ONLY
2019,605441,Yacksel Ríos,False,False,False,FILE,COMPLETE,RP,14.5,13,75,46,15,0.3165,True,False,96.1707,15.512,2082.5867,6.112,-9.0992,0.3261,1.4547,0.387,97.3169,15.512,2140.3849,0.2643,-0.2132,60.0,50.0,35.0,60.0,50.0,0.9035,-0.0628,-1.3576,0.9664,0.1395,50.0,55.0,48.2774,55.5296,False,False,False,55.0,51.9035,NOT ELITE
2018,502624,Chase Anderson,False,False,False,FILE,COMPLETE,SP,86.0,30,1062,528,167,0.4081,False,True,92.4519,17.4237,2159.8202,5.6584,-8.5776,0.2197,0.7202,0.4413,93.7619,17.4237,2225.8752,0.2191,0.1905,40.0,60.0,45.0,50.0,60.0,-0.7918,0.8024,-0.7261,0.0658,1.1722,50.0,55.0,47.615,56.1901,False,False,False,55.0,51.9025,NOT ELITE
2025,669160,Dustin May,False,False,False,TEAM,COMPLETE,SP,88.0,18,263,128,74,0.1579,False,True,95.5224,12.5457,2348.3764,6.6875,-11.1801,0.2656,1.5209,0.2658,95.6862,12.5457,2356.6333,0.2498,0.0326,50.0,35.0,50.0,55.0,60.0,0.1259,-1.4051,0.2398,0.6771,0.7682,45.0,60.0,46.535,57.2266,False,True,False,55.0,51.8808,RESULTS-ONLY
