game_year,pitcher,name,is_cohort,on_phi_2026,phi_season,frame,coverage,role,med_pitches_per_outing,games,n,swings,pa_end,usage,thin,pop_member,velo,ivb_in,spin,ext,hb_in,whiff_rate,rv100,xwoba,velo_final,ivb_in_final,spin_final,whiff_rate_final,rv100_final,g_velo,g_ivb_in,g_spin,g_whiff_rate,g_rv100,z_velo,z_ivb_in,z_spin,z_whiff_rate,z_rv100,shape_grade,results_grade,shape_score,results_score,ff_elite_shape_flag,ff_elite_results_flag,ff_elite_archetype_flag,ff_elite_composite,efc_score,archetype_tier
2025,685299,MLBAM 685299,False,False,False,INCIDENTAL,PARTIAL,UNK,,3,66,35,17,0.5841,True,False,92.2894,13.5855,2318.1385,6.2515,-10.9255,0.0857,0.5015,0.3222,92.4531,13.5855,2326.3953,0.1645,-0.281,35.0,40.0,50.0,40.0,50.0,-1.4159,-0.9346,0.0164,-1.0235,-0.0338,40.0,45.0,42.2198,44.7134,False,False,False,45.0,43.4666,NOT ELITE
2021,622608,Antonio Senzatela,False,False,False,FILE,COMPLETE,SP,88.5,28,1311,623,345,0.5451,False,True,94.5813,11.0487,2096.2382,6.2082,-4.9188,0.1413,0.54,0.3277,95.4001,11.0487,2137.5226,0.1472,0.1469,50.0,30.0,35.0,35.0,60.0,-0.0106,-2.0826,-1.3787,-1.3672,1.0606,40.0,50.0,38.4272,48.4669,False,False,False,45.0,43.4471,NOT ELITE
2020,592866,Trevor Williams,False,False,False,INCIDENTAL,PARTIAL,UNK,,9,65,36,15,0.4221,True,False,91.5169,13.488,2265.4923,6.8231,-4.0948,0.0833,1.1108,0.3749,92.4994,13.488,2315.0336,0.1627,-0.2472,35.0,40.0,50.0,40.0,50.0,-1.3938,-0.9787,-0.0675,-1.0591,0.0526,40.0,45.0,41.8666,44.9676,False,False,False,45.0,43.4171,NOT ELITE
2024,605513,Spencer Turnbull,False,False,True,PHI,COMPLETE,RP,49.0,17,319,154,87,0.3483,False,True,91.9611,9.6105,2499.4734,6.2248,-0.3773,0.1623,-0.0075,0.3935,92.2886,9.6105,2515.9871,0.176,-0.2556,35.0,25.0,65.0,40.0,50.0,-1.4943,-2.7334,1.4168,-0.7931,0.0311,40.0,45.0,40.6303,46.1898,False,False,False,45.0,43.4101,NOT ELITE
2025,621111,Walker Buehler,False,False,False,FILE,COMPLETE,SP,89.0,26,552,186,112,0.2522,False,True,93.9902,16.9083,2249.3967,6.521,-5.7128,0.1505,-1.6259,0.4499,94.154,16.9083,2257.6536,0.1652,-0.7665,45.0,55.0,45.0,40.0,35.0,-0.6048,0.5691,-0.4914,-1.0099,-1.2755,50.0,40.0,48.2431,38.5727,False,False,False,45.0,43.4079,NOT ELITE
2019,595191,Jerad Eickhoff,False,False,True,PHI,COMPLETE,SP,86.5,12,357,152,64,0.3662,False,True,89.4216,18.1022,2414.6246,6.3336,-9.0413,0.1382,-2.3409,0.4828,90.5678,18.1022,2472.4228,0.1585,-0.8273,25.0,60.0,60.0,40.0,35.0,-2.3149,1.1094,1.095,-1.1426,-1.4312,50.0,40.0,49.6316,37.1312,False,False,False,45.0,43.3814,NOT ELITE
2018,670950,Trevor Richards,False,True,False,VS_PHI,PARTIAL,SP,90.0,10,244,89,36,0.5508,False,True,90.691,17.3149,2080.2295,6.5029,-8.5751,0.1573,-0.9975,0.4667,92.001,17.3149,2146.2846,0.1791,-0.4516,35.0,60.0,35.0,45.0,45.0,-1.6315,0.7531,-1.314,-0.7324,-0.4702,45.0,45.0,42.6921,43.9871,False,False,False,45.0,43.3396,NOT ELITE
2022,621111,Walker Buehler,False,False,False,FILE,COMPLETE,SP,91.5,12,363,155,90,0.347,False,True,95.2063,16.8988,2266.6006,6.4843,-6.001,0.1355,-3.008,0.4175,95.8613,16.8988,2299.6281,0.1562,-1.001,50.0,55.0,50.0,40.0,30.0,0.2094,0.5648,-0.1813,-1.1875,-1.8754,50.0,35.0,51.9764,34.6856,False,False,False,45.0,43.331,NOT ELITE
2025,665795,Edward Cabrera,False,False,False,INCIDENTAL,PARTIAL,SP,74.5,21,58,36,37,0.1391,True,False,97.0724,14.5821,2335.569,6.4879,-10.7938,0.0833,-14.2397,0.6211,97.2362,14.5821,2343.8258,0.1627,-1.0354,60.0,45.0,50.0,40.0,30.0,0.865,-0.4836,0.1452,-1.0591,-1.9634,50.0,35.0,51.7553,34.8873,False,False,False,45.0,43.3213,NOT ELITE
2021,502043,Kyle Gibson,False,False,True,PHI,COMPLETE,SP,99.5,15,160,66,32,0.1345,False,True,92.535,15.9142,2284.8875,6.6919,-5.2928,0.0909,-2.1206,0.4139,93.3538,15.9142,2326.1719,0.1473,-0.5592,40.0,50.0,50.0,35.0,45.0,-0.9864,0.1193,0.0148,-1.3662,-0.7454,45.0,40.0,47.1587,39.4421,False,False,False,45.0,43.3004,NOT ELITE
2022,623167,Chris Flexen,False,False,False,INCIDENTAL,PARTIAL,SP,91.0,14,87,40,14,0.358,True,False,91.5494,18.6359,2123.4253,5.9609,-2.5297,0.05,-1.269,0.4635,92.2044,18.6359,2156.4528,0.1455,-0.3985,35.0,65.0,40.0,35.0,45.0,-1.5345,1.3509,-1.2389,-1.4016,-0.3345,45.0,40.0,45.2584,41.3198,False,False,False,45.0,43.2891,NOT ELITE
2019,592351,Jon Gray,False,False,False,VS_PHI,PARTIAL,SP,97.5,5,97,42,14,0.4369,True,False,95.9835,11.6907,2006.9794,6.032,-11.0375,0.1429,-0.1268,0.4045,97.1298,11.6907,2064.7776,0.1833,-0.3121,60.0,30.0,30.0,45.0,50.0,0.8143,-1.792,-1.916,-0.6478,-0.1133,40.0,50.0,40.3541,46.1944,False,False,False,45.0,43.2743,NOT ELITE
2019,623149,Paul Sewald,False,False,False,VS_PHI,PARTIAL,RP,6.0,6,52,27,9,0.6933,True,False,90.0769,14.9123,2327.25,6.2942,-11.4946,0.037,-1.2154,0.3804,91.2232,14.9123,2385.0482,0.1562,-0.3693,30.0,45.0,55.0,40.0,45.0,-2.0024,-0.3341,0.4496,-1.1877,-0.2596,45.0,45.0,43.7102,42.7638,False,False,False,45.0,43.237,NOT ELITE
2025,681343,MLBAM 681343,False,False,False,INCIDENTAL,PARTIAL,UNK,,28,151,132,117,0.4734,False,True,95.7437,14.0162,2285.0067,6.7623,-7.0927,0.0455,0.7285,0.3857,95.9075,14.0162,2293.2636,0.0956,-0.1994,50.0,45.0,50.0,25.0,50.0,0.2314,-0.7397,-0.2283,-2.3964,0.175,50.0,40.0,47.5446,38.8927,False,False,False,45.0,43.2187,NOT ELITE
2022,675921,Spencer Howard,False,False,False,FILE,COMPLETE,SP,74.0,10,348,175,66,0.5029,False,True,94.3658,16.4679,2143.9023,6.4971,-7.5724,0.1257,-1.3115,0.3868,95.0208,16.4679,2176.9298,0.1471,-0.5676,50.0,55.0,40.0,35.0,40.0,-0.1914,0.3698,-1.0876,-1.3708,-0.7668,50.0,40.0,46.9693,39.3119,False,False,False,45.0,43.1406,NOT ELITE
2024,592836,Taijuan Walker,False,True,True,PHI,COMPLETE,SP,79.0,19,181,56,32,0.1261,False,True,91.4884,16.9551,2064.9576,5.9812,-9.2678,0.2321,-2.4818,0.4515,91.8159,16.9551,2081.4713,0.2229,-0.6368,35.0,55.0,30.0,50.0,40.0,-1.7198,0.5903,-1.7927,0.1407,-0.944,40.0,45.0,40.2594,45.9836,False,False,False,45.0,43.1215,NOT ELITE
2023,622608,Antonio Senzatela,False,False,False,FILE,COMPLETE,SP,60.0,2,66,34,17,0.55,True,False,93.9955,13.9255,2099.9848,6.1636,-7.3745,0.1765,-3.5818,0.5152,94.4867,13.9255,2124.7555,0.1996,-0.5154,45.0,40.0,35.0,45.0,45.0,-0.4461,-0.7807,-1.473,-0.3233,-0.6334,40.0,45.0,41.0005,45.2163,False,False,False,45.0,43.1084,NOT ELITE
2024,621111,Walker Buehler,False,False,False,FILE,COMPLETE,SP,84.5,16,386,160,90,0.2889,False,True,95.0337,16.6641,2279.158,6.4938,-4.2721,0.1688,-3.3886,0.451,95.3612,16.6641,2295.6718,0.1804,-1.1324,50.0,55.0,50.0,45.0,30.0,-0.0291,0.4586,-0.2105,-0.706,-2.2114,50.0,40.0,50.7299,35.4127,False,False,False,45.0,43.0713,NOT ELITE
2025,605400,Aaron Nola,False,True,True,PHI,COMPLETE,SP,95.0,17,475,202,96,0.3029,False,True,91.8621,14.8469,2317.1389,6.9074,-12.8274,0.1386,-0.4396,0.3654,92.0259,14.8469,2325.3958,0.1549,-0.3625,35.0,45.0,50.0,40.0,50.0,-1.6196,-0.3637,0.009,-1.214,-0.2422,45.0,45.0,43.4188,42.7189,False,False,False,45.0,43.0688,NOT ELITE
2019,660853,Enyel De Los Santos,False,False,True,PHI,COMPLETE,RP,31.0,5,103,45,15,0.5852,False,True,93.2738,11.7577,2130.0971,5.7019,-13.8186,0.2,-1.635,0.4023,94.4201,11.7577,2187.8953,0.2075,-0.442,45.0,30.0,40.0,50.0,45.0,-0.4779,-1.7617,-1.0066,-0.1647,-0.4457,40.0,50.0,39.1791,46.9479,False,False,False,45.0,43.0635,NOT ELITE
