game_year,pitcher,role,role_used,V_role,displaced_pitcher,displaced_efc,cand_efc,delta_staff_score,delta_efs,name,displaced_name,board,cand_rank,archetype_tier,coverage,games,n,needle_rank
2025,621242,RP,RP,241.0,670950,43.9178,54.1255,0.5856,0.0,Edwin Díaz,Trevor Richards,WATCH (THIN),,RESULTS-ONLY,PARTIAL,9,57,
2025,664854,RP,RP,241.0,670950,43.9178,53.9141,0.5735,0.0,Ryan Helsley,Trevor Richards,WATCH (THIN),,SHAPE-ONLY,PARTIAL,9,66,
2026,669302,SP,SP,669.0,605400,39.0179,53.4665,2.3009,0.0,Logan Gilbert,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,2,54,
2025,628452,RP,RP,241.0,670950,43.9178,53.2838,0.5373,0.0,Raisel Iglesias,Trevor Richards,WATCH (THIN),,RESULTS-ONLY,PARTIAL,12,64,
2025,694037,RP,RP,241.0,670950,43.9178,53.1387,0.529,0.0,MLBAM 694037,Trevor Richards,WATCH (THIN),,NOT ELITE,PARTIAL,6,50,
2025,592773,RP,RP,241.0,670950,43.9178,52.9665,0.5191,0.0,Ryne Stanek,Trevor Richards,WATCH (THIN),,SHAPE-ONLY,PARTIAL,10,82,
2025,682243,SP,SP,669.0,605400,39.0179,52.5343,2.1525,0.0,Bryce Miller,Aaron Nola,WATCH (THIN),,SHAPE-ONLY,PARTIAL,5,74,
2025,701542,SP,SP,669.0,605400,39.0179,51.9624,2.0614,0.0,Will Warren,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,4,66,
2025,688158,RP,RP,241.0,670950,43.9178,51.9476,0.4606,0.0,David Morgan,Trevor Richards,WATCH (THIN),,NOT ELITE,PARTIAL,8,72,
2025,669093,RP,RP,241.0,670950,43.9178,51.8024,0.4523,0.0,MLBAM 669093,Trevor Richards,WATCH (THIN),,SHAPE-ONLY,PARTIAL,13,97,
2025,680885,SP,SP,669.0,605400,39.0179,51.7107,2.0213,0.0,Spencer Schwellenbach,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,5,88,
2025,680684,SP,SP,669.0,605400,39.0179,51.6123,2.0056,0.0,MLBAM 680684,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,3,67,
2025,642016,RP,RP,241.0,670950,43.9178,51.3736,0.4277,0.0,Daniel Robert,Trevor Richards,WATCH (THIN),,NOT ELITE,COMPLETE,15,59,
2025,656848,RP,RP,241.0,670950,43.9178,51.3549,0.4266,0.0,MLBAM 656848,Trevor Richards,WATCH (THIN),,SHAPE-ONLY,PARTIAL,12,89,
2025,675848,UNK,RP,241.0,670950,43.9178,51.2528,0.4208,0.0,MLBAM 675848,Trevor Richards,WATCH (THIN),,NOT ELITE,PARTIAL,7,79,
2025,640448,RP,RP,241.0,670950,43.9178,51.1488,0.4148,0.0,Kyle Finnegan,Trevor Richards,WATCH (THIN),,NOT ELITE,PARTIAL,8,64,
2025,680767,RP,RP,241.0,670950,43.9178,51.1028,0.4122,0.0,Victor Vodnik,Trevor Richards,WATCH (THIN),,NOT ELITE,PARTIAL,10,59,
2026,696149,SP,SP,669.0,605400,39.0179,50.5697,1.8396,0.0,Bubba Chandler,Aaron Nola,WATCH (THIN),,SHAPE-ONLY,PARTIAL,3,78,
2025,621051,RP,RP,241.0,670950,43.9178,50.5442,0.3801,0.0,Steven Wilson,Trevor Richards,WATCH (THIN),,SHAPE-ONLY,PARTIAL,31,53,
2026,676917,SP,SP,669.0,605400,39.0179,50.4442,1.8196,0.0,Cade Cavalli,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,3,76,
2025,656731,SP,SP,669.0,605400,39.0179,50.4372,1.8185,0.0,Tylor Megill,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,2,84,
2025,680573,SP,SP,669.0,605400,39.0179,50.3363,1.8024,0.0,Simeon Woods Richardson,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,3,74,
2025,668909,SP,SP,669.0,605400,39.0179,50.2704,1.7919,0.0,MLBAM 668909,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,5,86,
2025,678692,RP,RP,241.0,670950,43.9178,49.8008,0.3375,0.0,MLBAM 678692,Trevor Richards,WATCH (THIN),,SHAPE-ONLY,PARTIAL,29,52,
2026,681190,SP,SP,669.0,605400,39.0179,49.423,1.657,0.0,Randy Vásquez,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,4,60,
2025,614179,RP,RP,241.0,670950,43.9178,49.3135,0.3095,0.0,José Ruiz,Trevor Richards,WATCH (THIN),,NOT ELITE,COMPLETE,15,92,
2025,592332,SP,SP,669.0,605400,39.0179,49.3026,1.6378,0.0,Kevin Gausman,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,5,75,
2026,453286,SP,SP,669.0,605400,39.0179,48.9342,1.5792,0.0,Max Scherzer,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,2,75,
2025,656427,SP,SP,669.0,605400,39.0179,48.5611,1.5197,0.0,Jack Flaherty,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,3,80,
2026,677952,SP,SP,669.0,605400,39.0179,47.6726,1.3782,0.0,Braxton Ashcraft,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,3,63,
2025,656605,UNK,RP,241.0,670950,43.9178,47.298,0.1939,0.0,Mitch Keller,Trevor Richards,WATCH (THIN),,NOT ELITE,PARTIAL,6,59,
2026,693433,SP,SP,669.0,605400,39.0179,47.0571,1.2802,0.0,MLBAM 693433,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,2,51,
2025,543243,SP,SP,669.0,605400,39.0179,46.9405,1.2617,0.0,Sonny Gray,Aaron Nola,WATCH (THIN),,NOT ELITE,PARTIAL,4,62,
