board,cand_rank,ungoverned_rank,game_year,pitcher,name,is_cohort,frame,coverage,role,games,n,swings,thin,velo,ivb_in,spin,whiff_rate,rv100,whiff_rate_final,rv100_final,shape_grade,results_grade,ff_elite_composite,efc_score,efc_score_ungoverned,archetype_tier
WATCH (THIN),,,2026,694819,Jacob Misiorowski,False,VS_PHI,PARTIAL,SP,1,69,40,True,101.6681,14.8852,2617.7826,0.575,6.5493,0.364,0.0831,65.0,70.0,70.0,67.6323,73.2056,ELITE
WATCH (THIN),,,2025,695243,Mason Miller,False,VS_PHI,PARTIAL,RP,7,55,31,True,101.0927,17.1098,2548.6909,0.4194,-1.2782,0.2868,-0.3745,65.0,55.0,60.0,61.4604,64.9497,SHAPE-ONLY
WATCH (THIN),,,2025,656730,Trevor Megill,False,INCIDENTAL,PARTIAL,RP,7,51,28,True,99.8706,18.9271,2477.0196,0.2857,2.1137,0.2376,-0.2189,65.0,55.0,60.0,59.5195,63.7274,SHAPE-ONLY
WATCH (THIN),,,2025,668881,Hunter Greene,False,INCIDENTAL,PARTIAL,SP,3,91,48,True,99.8176,16.8765,2470.4835,0.2917,2.3505,0.2496,-0.1211,60.0,55.0,60.0,59.0729,62.5041,SHAPE-ONLY
WATCH (THIN),,,2025,678495,Randy Rodríguez,False,TEAM,COMPLETE,RP,12,94,39,True,97.4181,18.7979,2635.7872,0.2051,1.6617,0.2101,-0.1698,65.0,55.0,60.0,58.3714,60.5462,SHAPE-ONLY
WATCH (THIN),,,2025,594798,Jacob deGrom,False,INCIDENTAL,PARTIAL,SP,2,86,49,True,97.6186,16.4763,2517.5,0.2245,5.6326,0.2187,0.1097,60.0,55.0,60.0,57.5367,62.3403,SHAPE-ONLY
WATCH (THIN),,,2025,683618,Edgardo Henriquez,False,TEAM,COMPLETE,RP,20,78,45,True,100.7308,15.4754,2510.3881,0.2444,-0.9974,0.2273,-0.3736,65.0,50.0,60.0,56.509,57.5684,SHAPE-ONLY
WATCH (THIN),,,2025,687377,Orlando Ribalta,False,VS_PHI,PARTIAL,RP,5,54,27,True,96.0444,17.88,2608.8148,0.2222,1.8185,0.2164,-0.2267,60.0,50.0,55.0,56.204,59.1761,SHAPE-ONLY
WATCH (THIN),,,2026,681035,Christian Scott,False,VS_PHI,PARTIAL,SP,3,94,41,True,95.8351,15.3843,2357.0426,0.4634,0.5234,0.3191,-0.2606,50.0,60.0,55.0,55.7248,59.9155,RESULTS-ONLY
WATCH (THIN),,,2025,592779,Brock Stewart,False,TEAM,COMPLETE,RP,7,52,35,True,97.0481,13.0038,2613.5,0.2857,3.5442,0.2413,-0.1513,55.0,55.0,55.0,55.1051,60.2309,NOT ELITE
WATCH (THIN),,,2025,669358,Shane Baz,False,INCIDENTAL,PARTIAL,SP,3,81,44,True,97.2469,16.9481,2468.8765,0.2273,1.6,0.2196,-0.1945,60.0,50.0,55.0,55.1,57.6416,SHAPE-ONLY
WATCH (THIN),,,2025,806185,Hayden Birdsong,False,TEAM,COMPLETE,RP,7,69,39,True,96.4783,18.6226,2373.7246,0.2308,3.042,0.2206,-0.1269,60.0,55.0,60.0,55.0645,58.7846,SHAPE-ONLY
WATCH (THIN),,,2025,621242,Edwin Díaz,False,INCIDENTAL,PARTIAL,RP,9,57,28,True,97.2719,13.2316,2313.193,0.4643,1.9333,0.2971,-0.2156,50.0,60.0,55.0,54.1255,60.37,RESULTS-ONLY
WATCH (THIN),,,2025,664854,Ryan Helsley,False,VS_PHI,PARTIAL,RP,9,66,32,True,99.2955,17.94,2525.5455,0.125,-4.4106,0.1814,-0.563,65.0,45.0,55.0,53.9141,50.9931,SHAPE-ONLY
WATCH (THIN),,,2026,669302,Logan Gilbert,False,VS_PHI,PARTIAL,SP,2,54,26,True,97.4852,17.2378,2343.7222,0.2692,-0.2944,0.2312,-0.327,55.0,55.0,55.0,53.4665,55.8861,NOT ELITE
WATCH (THIN),,,2025,628452,Raisel Iglesias,False,VS_PHI,PARTIAL,RP,12,64,38,True,94.7266,15.5062,2293.9688,0.3684,3.7906,0.2761,-0.0989,50.0,60.0,55.0,53.2838,59.3707,RESULTS-ONLY
WATCH (THIN),,,2025,694037,MLBAM 694037,False,VS_PHI,PARTIAL,RP,6,50,27,True,98.412,15.9144,2299.16,0.2593,1.088,0.2284,-0.2662,55.0,55.0,55.0,53.1387,56.2056,NOT ELITE
WATCH (THIN),,,2025,592773,Ryne Stanek,False,VS_PHI,PARTIAL,RP,10,82,48,True,98.4976,18.1888,2346.2439,0.125,1.0939,0.1727,-0.2286,60.0,45.0,55.0,52.9665,54.1946,SHAPE-ONLY
WATCH (THIN),,,2025,682243,Bryce Miller,False,INCIDENTAL,PARTIAL,SP,5,74,42,True,95.2932,18.8027,2528.5946,0.2619,-7.7176,0.2343,-0.801,60.0,45.0,55.0,52.5343,49.8316,SHAPE-ONLY
WATCH (THIN),,,2025,701542,Will Warren,False,VS_PHI,PARTIAL,SP,4,66,27,True,93.7576,15.1309,2591.9091,0.3333,-3.8424,0.2525,-0.5304,55.0,50.0,55.0,51.9624,52.7461,NOT ELITE
WATCH (THIN),,,2025,688158,David Morgan,False,INCIDENTAL,PARTIAL,RP,8,72,34,True,97.6764,15.7433,2427.875,0.1471,0.4958,0.1885,-0.2773,55.0,50.0,55.0,51.9476,52.7892,NOT ELITE
WATCH (THIN),,,2025,669093,MLBAM 669093,False,INCIDENTAL,PARTIAL,RP,13,97,48,True,98.0918,19.4647,2219.4124,0.2292,-4.1289,0.2208,-0.6409,60.0,45.0,55.0,51.8024,51.1673,SHAPE-ONLY
WATCH (THIN),,,2025,680885,Spencer Schwellenbach,False,VS_PHI,PARTIAL,SP,5,88,46,True,96.3648,15.2086,2318.0568,0.3043,-1.1614,0.2545,-0.3912,50.0,55.0,55.0,51.7107,53.3961,NOT ELITE
WATCH (THIN),,,2025,680684,MLBAM 680684,False,INCIDENTAL,PARTIAL,SP,3,67,31,True,93.5836,18.2991,2388.0448,0.2258,0.5866,0.2179,-0.2754,50.0,50.0,50.0,51.6123,53.6983,NOT ELITE
WATCH (THIN),,,2025,642016,Daniel Robert,False,PHI,COMPLETE,RP,15,59,25,True,96.2661,15.419,2450.9322,0.28,-4.6763,0.2341,-0.5531,55.0,50.0,55.0,51.3736,50.5864,NOT ELITE
WATCH (THIN),,,2025,656848,MLBAM 656848,False,VS_PHI,PARTIAL,RP,12,89,60,True,97.2652,18.4544,2301.4831,0.1667,-1.2944,0.1893,-0.4019,60.0,45.0,55.0,51.3549,51.7203,SHAPE-ONLY
WATCH (THIN),,,2025,675848,MLBAM 675848,False,INCIDENTAL,PARTIAL,UNK,7,79,41,True,96.7506,11.9073,2586.7848,0.2195,-0.4886,0.2161,-0.3395,55.0,50.0,55.0,51.2528,52.427,NOT ELITE
