entity,player_name,game_year,plate_apps,pitches,ba,obp,slg,ops,woba,krate,whiff_rate,chase_rate,hard_hit_rate,barrel_rate,runs_created,rc_per_pa
Phillies Hitters,"Bohm, Alec",2025,520,1861,0.28781512605042014,0.33653846153846156,0.40756302521008403,0.7441014867485456,0.32445769230769234,0.1596153846153846,0.14864864864864866,0.25638051044083526,0.46616541353383456,0.06516290726817042,62,0.11923076923076924
Phillies Hitters,"Bohm, Alec",2026,495,1802,0.24,0.298989898989899,0.38,0.678989898989899,0.29846761133603233,0.1393939393939394,0.16047904191616766,0.25695216907675195,0.42297650130548303,0.057441253263707574,71,0.14343434343434344
Phillies Hitters,"Bour, Justin",2018,54,223,0.22448979591836735,0.2962962962962963,0.3469387755102041,0.6432350718065003,0.28540740740740744,0.24074074074074073,0.25,0.3565217391304348,0.3611111111111111,0.08333333333333333,5,0.09259259259259259
Phillies Hitters,"Bourjos, Peter",2016,383,1332,0.2507042253521127,0.2917771883289125,0.38873239436619716,0.6805095826951096,0.29118133333333335,0.23759791122715404,0.2853185595567867,0.3559822747415066,0.3284132841328413,0.025830258302583026,26,0.06788511749347259
Phillies Hitters,"Brown, Domonic",2015,204,773,0.2275132275132275,0.28431372549019607,0.3492063492063492,0.6335200746965453,0.27991176470588236,0.17647058823529413,0.2159383033419023,0.3276699029126214,0.28104575163398693,0.0457516339869281,27,0.1323529411764706
Phillies Hitters,"Bruce, Jay",2019,149,512,0.2206896551724138,0.2348993288590604,0.5103448275862069,0.7452441564452673,0.30088590604026844,0.19463087248322147,0.2977346278317152,0.43462897526501765,0.42735042735042733,0.09401709401709402,34,0.22818791946308725
Phillies Hitters,"Bruce, Jay",2020,102,413,0.19791666666666666,0.24509803921568626,0.46875,0.7138480392156863,0.2972254901960784,0.23529411764705882,0.2882882882882883,0.2772727272727273,0.3888888888888889,0.09722222222222222,15,0.14705882352941177
Phillies Hitters,"Burriss, Emmanuel",2016,50,175,0.1111111111111111,0.1836734693877551,0.17777777777777778,0.3614512471655329,0.16875510204081634,0.2,0.26595744680851063,0.32989690721649484,0.2222222222222222,0.0,0,0.0
Phillies Hitters,"Cabrera, Asdrúbal",2018,185,666,0.22807017543859648,0.2864864864864865,0.391812865497076,0.6782993519835625,0.29495135135135137,0.20540540540540542,0.25225225225225223,0.2903225806451613,0.3533834586466165,0.06766917293233082,17,0.0918918918918919
Phillies Hitters,"Camargo, Johan",2022,166,718,0.23684210526315788,0.296969696969697,0.3157894736842105,0.6127591706539075,0.2756121212121212,0.22289156626506024,0.24857142857142858,0.33827160493827163,0.27586206896551724,0.02586206896551724,17,0.10240963855421686
Phillies Hitters,"Castellanos, Nick",2022,627,2320,0.2546689303904924,0.2966507177033493,0.3735144312393888,0.670165148942738,0.29451196172248806,0.23604465709728867,0.32156273478587527,0.40208667736757625,0.34085778781038373,0.06320541760722348,70,0.11164274322169059
Phillies Hitters,"Castellanos, Nick",2023,721,2614,0.2674591381872214,0.3065187239944521,0.48291233283803864,0.7894310568324907,0.33443966712898754,0.27600554785020803,0.3566101694915254,0.40848056537102473,0.43243243243243246,0.1101871101871102,117,0.1622746185852982
Phillies Hitters,"Castellanos, Nick",2024,676,2392,0.2576,0.3106508875739645,0.4352,0.7458508875739644,0.32317899408284023,0.20857988165680474,0.3015075376884422,0.3821603927986907,0.38716356107660455,0.08695652173913043,90,0.13313609467455623
Phillies Hitters,"Castellanos, Nick",2025,605,2227,0.2468916518650089,0.2892561983471074,0.3960923623445826,0.68534856069169,0.29647438016528926,0.22479338842975208,0.2993920972644377,0.4104912572855953,0.3449074074074074,0.07407407407407407,79,0.1305785123966942
Phillies Hitters,"Castro, Rodolfo",2023,32,141,0.1,0.15625,0.1,0.25625,0.12628125,0.375,0.3384615384615385,0.32142857142857145,0.2222222222222222,0.05555555555555555,3,0.09375
Phillies Hitters,"Cave, Jake",2023,206,830,0.21390374331550802,0.2731707317073171,0.35294117647058826,0.6261119081779054,0.27329756097560975,0.27184466019417475,0.270935960591133,0.29832935560859186,0.35074626865671643,0.07462686567164178,22,0.10679611650485436
Phillies Hitters,"Clemens, Kody",2023,148,609,0.2302158273381295,0.27702702702702703,0.3669064748201439,0.6439335018471709,0.2808175675675676,0.2702702702702703,0.2793103448275862,0.30103806228373703,0.40404040404040403,0.06060606060606061,14,0.0945945945945946
Phillies Hitters,"Clemens, Kody",2024,125,495,0.226890756302521,0.264,0.453781512605042,0.717781512605042,0.305976,0.248,0.26229508196721313,0.33191489361702126,0.42045454545454547,0.06818181818181818,19,0.152
Phillies Hitters,"Cozens, Dylan",2018,44,197,0.15789473684210525,0.2727272727272727,0.2894736842105263,0.562200956937799,0.25693181818181815,0.5454545454545454,0.5168539325842697,0.2631578947368421,0.5714285714285714,0.07142857142857142,2,0.045454545454545456
Phillies Hitters,"Crawford, J.P.",2017,87,407,0.21428571428571427,0.3563218390804598,0.3,0.6563218390804597,0.30273563218390803,0.25287356321839083,0.2155688622754491,0.19607843137254902,0.22448979591836735,0.0,8,0.09195402298850575
