player_name,batter,game_year,stand,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,swings,whiffs,whiff_rate,chases,ooz,chase_rate,bips,hard_hits,hard_hit_rate,bips_barrel,barrels,barrel_rate,runs_created,rc_per_pa,floor,in_population
"Blanco, Andrés",433217,2017,L,102,396,89,17,11,11,0,24,2,13,2,0,2,67,0.19101123595505617,0.27450980392156865,0.2808988764044944,0.555408680326063,0.08988764044943823,0.23529411764705882,0.10784313725490197,0.23076923076923078,0.24949019607843137,209.0,64.0,0.3062200956937799,51.0,187.0,0.2727272727272727,67.0,16.0,0.23880597014925373,67.0,2.0,0.029850746268656716,12,0.11764705882352941,11,True
"Blanco, Andrés",433217,2017,R,42,157,41,8,1,1,0,10,0,5,2,0,1,31,0.1951219512195122,0.21428571428571427,0.3170731707317073,0.5313588850174216,0.12195121951219512,0.23809523809523808,0.023809523809523808,0.23333333333333334,0.22671428571428573,87.0,25.0,0.28735632183908044,29.0,75.0,0.38666666666666666,31.0,7.0,0.22580645161290322,31.0,1.0,0.03225806451612903,2,0.047619047619047616,12,True
"Bogusevic, Brian",460131,2015,L,61,246,58,15,3,3,0,21,0,10,3,0,2,37,0.25862068965517243,0.29508196721311475,0.41379310344827586,0.7088750706613907,0.15517241379310343,0.3442622950819672,0.04918032786885246,0.37142857142857144,0.3076885245901639,120.0,39.0,0.325,46.0,140.0,0.32857142857142857,37.0,12.0,0.32432432432432434,37.0,1.0,0.02702702702702703,5,0.08196721311475409,11,True
"Bohm, Alec",664761,2020,R,180,661,160,54,16,16,2,36,2,39,11,0,4,126,0.3375,0.4,0.48125,0.8812500000000001,0.14375,0.2,0.08888888888888889,0.4098360655737705,0.38117222222222225,314.0,79.0,0.2515923566878981,85.0,340.0,0.25,126.0,59.0,0.46825396825396826,126.0,13.0,0.10317460317460317,26,0.14444444444444443,12,True
"Bohm, Alec",664761,2021,R,417,1673,380,94,31,31,2,111,4,72,15,0,7,273,0.24736842105263157,0.30455635491606714,0.34210526315789475,0.6466616180739619,0.09473684210526317,0.26618705035971224,0.07434052757793765,0.32706766917293234,0.2850431654676259,818.0,218.0,0.2665036674816626,224.0,861.0,0.2601626016260163,273.0,135.0,0.4945054945054945,273.0,18.0,0.06593406593406594,52,0.12470023980815348,12,True
"Bohm, Alec",664761,2022,R,695,2518,645,177,33,33,6,126,11,131,29,3,14,529,0.2744186046511628,0.3107913669064748,0.3937984496124031,0.704589816518878,0.11937984496124032,0.18129496402877698,0.04748201438848921,0.31589147286821706,0.30682158273381294,1295.0,281.0,0.21698841698841698,417.0,1307.0,0.3190512624330528,529.0,230.0,0.43478260869565216,529.0,36.0,0.06805293005671077,86,0.1237410071942446,12,True
"Bohm, Alec",664761,2023,R,663,2436,604,164,47,47,6,103,6,109,34,0,21,507,0.271523178807947,0.3273001508295626,0.43211920529801323,0.7594193561275758,0.1605960264900662,0.15535444947209653,0.07088989441930618,0.294238683127572,0.32834841628959277,1211.0,228.0,0.18827415359207267,363.0,1206.0,0.3009950248756219,507.0,209.0,0.41222879684418146,507.0,29.0,0.05719921104536489,106,0.15987933634992457,12,True
"Bohm, Alec",664761,2024,R,619,2161,568,156,39,39,6,86,6,95,44,2,15,487,0.2746478873239437,0.3247172859450727,0.43838028169014087,0.7630975676352136,0.1637323943661972,0.13893376413570274,0.0630048465266559,0.29809725158562367,0.3297043618739903,1075.0,188.0,0.17488372093023255,290.0,1057.0,0.27436140018921473,487.0,220.0,0.4517453798767967,487.0,33.0,0.06776180698151951,99,0.15993537964458804,12,True
"Bohm, Alec",664761,2025,R,520,1861,476,137,33,33,5,83,6,105,18,3,11,399,0.28781512605042014,0.33653846153846156,0.40756302521008403,0.7441014867485456,0.11974789915966388,0.1596153846153846,0.06346153846153846,0.3247422680412371,0.32445769230769234,888.0,132.0,0.14864864864864866,221.0,862.0,0.25638051044083526,399.0,186.0,0.46616541353383456,399.0,26.0,0.06516290726817042,62,0.11923076923076924,12,True
"Bohm, Alec",664761,2026,R,495,1802,450,108,32,31,8,69,5,73,21,0,14,383,0.24,0.298989898989899,0.38,0.678989898989899,0.14,0.1393939393939394,0.06464646464646465,0.25268817204301075,0.29846761133603233,835.0,134.0,0.16047904191616766,231.0,899.0,0.25695216907675195,383.0,162.0,0.42297650130548303,383.0,22.0,0.057441253263707574,71,0.14343434343434344,12,True
"Bonifacio, Jorge",593528,2021,R,12,46,11,1,1,1,0,6,0,1,0,0,0,5,0.09090909090909091,0.16666666666666666,0.09090909090909091,0.25757575757575757,0.0,0.5,0.08333333333333333,0.2,0.13091666666666665,24.0,12.0,0.5,10.0,26.0,0.38461538461538464,5.0,1.0,0.2,5.0,0.0,0.0,2,0.16666666666666666,12,False
"Bour, Justin",571506,2018,L,54,223,49,11,4,4,1,13,0,7,3,0,1,36,0.22448979591836735,0.2962962962962963,0.3469387755102041,0.6432350718065003,0.12244897959183673,0.24074074074074073,0.07407407407407407,0.2857142857142857,0.28540740740740744,108.0,27.0,0.25,41.0,115.0,0.3565217391304348,36.0,13.0,0.3611111111111111,36.0,3.0,0.08333333333333333,5,0.09259259259259259,11,True
"Bourjos, Peter",488721,2016,R,383,1332,355,89,17,15,4,91,1,57,20,7,5,271,0.2507042253521127,0.2917771883289125,0.38873239436619716,0.6805095826951096,0.1380281690140845,0.23759791122715404,0.044386422976501305,0.3230769230769231,0.29118133333333335,722.0,206.0,0.2853185595567867,241.0,677.0,0.3559822747415066,271.0,89.0,0.3284132841328413,271.0,7.0,0.025830258302583026,26,0.06788511749347259,12,True
"Bradley, Archie",605151,2021,R,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,1.0,0.0,,,,,,,0,0.0,12,False
"Brantly, Rob",542963,2019,L,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,,0,0.0,11,False
"Brown, Domonic",502126,2015,L,204,773,189,43,14,14,1,36,0,31,6,1,5,153,0.2275132275132275,0.28431372549019607,0.3492063492063492,0.6335200746965453,0.12169312169312169,0.17647058823529413,0.06862745098039216,0.25675675675675674,0.27991176470588236,389.0,84.0,0.2159383033419023,135.0,412.0,0.3276699029126214,153.0,43.0,0.28104575163398693,153.0,7.0,0.0457516339869281,27,0.1323529411764706,11,True
"Bruce, Jay",457803,2019,L,149,512,145,32,3,3,0,29,1,14,6,0,12,117,0.2206896551724138,0.2348993288590604,0.5103448275862069,0.7452441564452673,0.2896551724137931,0.19463087248322147,0.020134228187919462,0.19047619047619047,0.30088590604026844,309.0,92.0,0.2977346278317152,123.0,283.0,0.43462897526501765,117.0,50.0,0.42735042735042733,117.0,11.0,0.09401709401709402,34,0.22818791946308725,11,True
"Bruce, Jay",457803,2020,L,102,413,96,19,6,6,0,24,0,7,4,2,6,72,0.19791666666666666,0.24509803921568626,0.46875,0.7138480392156863,0.27083333333333337,0.23529411764705882,0.058823529411764705,0.19696969696969696,0.2972254901960784,222.0,64.0,0.2882882882882883,61.0,220.0,0.2772727272727273,72.0,28.0,0.3888888888888889,72.0,7.0,0.09722222222222222,15,0.14705882352941177,11,True
