game_year,stand,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,swings,whiffs,whiff_rate,chases,ooz,chase_rate,bips,hard_hits,hard_hit_rate,bips_barrel,barrels,barrel_rate,runs_created,rc_per_pa,entity
2021,L,23,99,20,3,2,2,1,9,0,2,0,0,1,11,0.15,0.2608695652173913,0.3,0.5608695652173913,0.15,0.391304347826087,0.08695652173913043,0.2,0.25526086956521743,42,11,0.2619047619047619,14,49,0.2857142857142857,11,5,0.45454545454545453,11,1,0.09090909090909091,2,0.08695652173913043,Noles
2021,R,25,96,24,8,1,1,0,8,0,7,0,0,1,16,0.3333333333333333,0.36,0.4583333333333333,0.8183333333333334,0.125,0.32,0.04,0.4666666666666667,0.35408,52,13,0.25,19,45,0.4222222222222222,16,6,0.375,16,1,0.0625,4,0.16,Noles
2022,L,21,72,19,2,2,2,0,6,0,1,1,0,0,13,0.10526315789473684,0.19047619047619047,0.15789473684210525,0.3483709273182957,0.05263157894736842,0.2857142857142857,0.09523809523809523,0.15384615384615385,0.16776190476190475,33,11,0.3333333333333333,15,40,0.375,13,6,0.46153846153846156,13,1,0.07692307692307693,0,0.0,Noles
2022,R,60,240,59,12,1,1,0,20,0,9,3,0,0,39,0.2033898305084746,0.21666666666666667,0.2542372881355932,0.4709039548022599,0.05084745762711862,0.3333333333333333,0.016666666666666666,0.3076923076923077,0.2071333333333333,125,39,0.312,46,120,0.38333333333333336,39,12,0.3076923076923077,39,4,0.10256410256410256,3,0.05,Noles
2023,L,37,140,37,8,0,0,0,9,0,3,3,1,1,28,0.21621621621621623,0.21621621621621623,0.43243243243243246,0.6486486486486487,0.21621621621621623,0.24324324324324326,0.0,0.25925925925925924,0.269027027027027,68,16,0.23529411764705882,28,73,0.3835616438356164,28,11,0.39285714285714285,28,4,0.14285714285714285,3,0.08108108108108109,Noles
2023,R,57,223,55,19,1,1,1,11,0,10,5,0,4,44,0.34545454545454546,0.3684210526315789,0.6545454545454545,1.0229665071770335,0.3090909090909091,0.19298245614035087,0.017543859649122806,0.375,0.4296140350877193,106,20,0.18867924528301888,38,107,0.35514018691588783,44,21,0.4772727272727273,44,6,0.13636363636363635,9,0.15789473684210525,Noles
2024,L,24,89,23,4,1,1,0,9,0,3,0,0,1,14,0.17391304347826086,0.20833333333333334,0.30434782608695654,0.5126811594202899,0.13043478260869568,0.375,0.041666666666666664,0.23076923076923078,0.224375,46,19,0.41304347826086957,22,54,0.4074074074074074,14,6,0.42857142857142855,14,0,0.0,1,0.041666666666666664,Noles
2024,R,28,112,27,11,1,1,0,5,0,6,3,0,2,22,0.4074074074074074,0.42857142857142855,0.7407407407407407,1.1693121693121693,0.3333333333333333,0.17857142857142858,0.03571428571428571,0.45,0.49439285714285713,50,10,0.2,10,49,0.20408163265306123,22,9,0.4090909090909091,22,2,0.09090909090909091,6,0.21428571428571427,Noles
2026,L,33,138,30,8,3,3,0,5,0,7,0,0,1,25,0.26666666666666666,0.3333333333333333,0.36666666666666664,0.7,0.09999999999999998,0.15151515151515152,0.09090909090909091,0.2916666666666667,0.313969696969697,61,10,0.16393442622950818,14,75,0.18666666666666668,25,12,0.48,25,2,0.08,1,0.030303030303030304,Noles
2026,R,12,49,12,2,0,0,0,4,0,2,0,0,0,7,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.25,0.14816666666666667,22,7,0.3181818181818182,11,28,0.39285714285714285,7,2,0.2857142857142857,7,0,0.0,0,0.0,Noles
