check_id,description,recomputed,published,result
V-051-offspeed-L,offspeed-L SLG,1.3333,1.3333,PASS
V-052-offspeed-L,offspeed-L BA,0.3333,0.3333,PASS
V-053-offspeed-L,offspeed-L BIP,4,4,PASS
V-054-offspeed-L,offspeed-L hard-hit,0.5,0.5,PASS
V-055-offspeed-L,offspeed-L pitches seen,19,19,PASS
V-050-offspeed-R,offspeed-R PA ended,50,50,PASS
V-051-offspeed-R,offspeed-R SLG,0.2708,0.2708,PASS
V-052-offspeed-R,offspeed-R BA,0.2083,0.2083,PASS
V-053-offspeed-R,offspeed-R BIP,46,46,PASS
V-054-offspeed-R,offspeed-R hard-hit,0.1522,0.1522,PASS
V-055-offspeed-R,offspeed-R pitches seen,175,175,PASS
V-056,Thin-sample flag set only below 15 BIP,0,0,PASS
V-060,RISP PA count,89,89,PASS
V-061,RISP runners faced,108,108,PASS
V-062,RISP runners scored,37.0,37.0,PASS
V-063,SPCR,0.3426,0.3426,PASS
V-064,RISP strikeouts,1,1,PASS
V-065,RISP BA,0.3824,0.3824,PASS
V-066,Context PA sums to season PA,464,464,PASS
V-070-650333,Luis Arraez SPCR,0.3426,0.3426,PASS
V-071-650333,Luis Arraez RISP PA,89,89,PASS
V-070-681082,Bryson Stott SPCR,0.3017,0.3017,PASS
V-071-681082,Bryson Stott RISP PA,97,97,PASS
V-070-664761,Alec Bohm SPCR,0.2958,0.2958,PASS
V-071-664761,Alec Bohm RISP PA,113,113,PASS
V-070-624641,Edmundo Sosa SPCR,0.2857,0.2857,PASS
V-071-624641,Edmundo Sosa RISP PA,50,50,PASS
V-070-669016,Brandon Marsh SPCR,0.2821,0.2821,PASS
V-071-669016,Brandon Marsh RISP PA,94,94,PASS
V-070-702222,Justin Crawford SPCR,0.2692,0.2692,PASS
V-071-702222,Justin Crawford RISP PA,81,81,PASS
V-070-547180,Bryce Harper SPCR,0.2689,0.2689,PASS
V-071-547180,Bryce Harper RISP PA,102,102,PASS
V-070-607208,Trea Turner SPCR,0.2054,0.2054,PASS
V-071-607208,Trea Turner RISP PA,92,92,PASS
V-070-592663,J.T. Realmuto SPCR,0.2039,0.2039,PASS
V-071-592663,J.T. Realmuto RISP PA,84,84,PASS
V-070-666969,Adolis García SPCR,0.1806,0.1806,PASS
V-071-666969,Adolis García RISP PA,57,57,PASS
V-070-656941,Kyle Schwarber SPCR,0.15,0.15,PASS
V-071-656941,Kyle Schwarber RISP PA,87,87,PASS
V-080,PHI games,112,112,PASS
V-081,Every game has 9 slots,0,0,PASS
